event,w,N
ace,0.1433990531379448,15060
double_fault,-0.195172724893645,15974
forced_return_error_drawn,0.14800601296228696,46233
unforced_return_error,-0.14880812399589646,12583
return_winner,0.19081724485929155,7607
winner,0.17258258963561757,72630
forced_error_drawn,0.18048662302217805,57690
unforced_error,-0.18452080935807685,97310
