bootstrap_iteration,Aryna Sabalenka,Elena Rybakina,Iga Swiatek,Coco Gauff,Jessica Pegula,Amanda Anisimova,Elina Svitolina,Mirra Andreeva,Karolina Muchova,Belinda Bencic,Linda Noskova,Jasmine Paolini,Ekaterina Alexandrova,Marta Kostyuk,Naomi Osaka,Iva Jovic,Sorana Cirstea,Madison Keys,Clara Tauson,Elise Mertens,Leylah Fernandez,Diana Shnaider,Anna Kalinskaya,Emma Navarro,Liudmila Samsonova,Marie Bouzkova,Anastasia Potapova,Jelena Ostapenko,Emma Raducanu,Barbora Krejcikova,Marketa Vondrousova,Maria Sakkari,Daria Kasatkina,Qinwen Zheng,Donna Vekic,Magda Linette,Veronika Kudermetova,Sofia Kenin
11,0.0329329272843788,0.02782376120340253,0.02380075959475274,0.017947497535865935,0.020249720474118448,0.016128034094240292,0.01718191844336319,0.015289583831305745,0.023427043837145767,0.031052377095195382,0.022386553602580496,0.01820489884930198,0.018021498998936073,0.013888201433695901,0.012075661621618468,0.018613747561130017,0.02720637157289728,0.02158017855825068,0.016837476606655747,0.014004023322538525,0.022309084620046805,0.019184658591653036,0.02394906344797694,0.017128233260650706,0.01923246843591592,0.012139319976103043,0.010577347618177472,0.024716949985205048,0.018368205302976174,0.016591189012895406,0.01620897956581067,0.013201910457119909,0.010744755815356348,0.02606221347182334,0.018342947085790547,0.022818896009931765,0.013460446374670294,0.023739332487730747
12,0.03057344184411063,0.027893111469363237,0.023345503733717646,0.018332503940574167,0.02112366148779883,0.022637105148889235,0.01885562955883767,0.013801333199254084,0.022209207631105142,0.029771038229105998,0.020747640123626763,0.01955245497713568,0.027708563286160177,0.014130241824720075,0.020202287712708555,0.019449837064456778,0.026903794990532196,0.024355701820351103,0.02177229579598611,0.01790896592781025,0.024141753973800504,0.020074711047853102,0.01612435116887599,0.01713989405382663,0.023744641023908605,0.010491011234688626,0.011846265583172328,0.022203339801938518,0.02253145152994202,0.018729624514378637,0.012983145183732383,0.010925654720506281,0.007082422416651647,0.022709521480970545,0.02004267528393716,0.02436264410257009,0.01331717721541669,0.025057507466384802
13,0.03699458288492117,0.029384937997535294,0.025064751342894168,0.019230041457872594,0.020385566034906075,0.02090585896918647,0.019113305073880156,0.014124131779494242,0.022420256883994887,0.02736586404579192,0.022519274033021938,0.023961985152909364,0.01910302687289227,0.012433322396894464,0.021606002979692798,0.014136103058855244,0.024745078154269736,0.017464588003141275,0.019759653122850943,0.014372045949353481,0.02559864018136864,0.014483885076846153,0.023108304820945124,0.011873195330784406,0.023799641591412384,0.010459762275611415,0.012537452452327204,0.019745597095296136,0.014642217102385042,0.014201294007989088,0.009836035968568602,0.013082024872059004,0.0040466031169008095,0.025138569749465108,0.019673379029408893,0.02167586803586754,0.014940380281679431,0.01921474936896763
14,0.030152957554695436,0.02839291739429479,0.02484223651637994,0.015513766637658995,0.020693565593399663,0.02632370142046475,0.01621789825729296,0.014552396216111468,0.01925532404778332,0.02979352101245895,0.02235717751570907,0.021023350738450217,0.01933707678677876,0.015114761740857055,0.019735325125415717,0.016793839834661425,0.025791571334665885,0.020724952051854838,0.02037910115871978,0.020705063979389194,0.01877794050692144,0.01816085058698432,0.01541363854223452,0.015203821108241174,0.020760943882190096,0.01729325972084769,0.007047200844625072,0.018760182942346246,0.023376364774069684,0.01305659244236676,0.013906606186882503,0.01363166249745932,0.007438303324096627,0.026602753036908226,0.017993564784314967,0.020154696570111666,0.019829698438950372,0.022553247655762092
15,0.0329174589833946,0.03289891223102526,0.02476444047653856,0.01877503670254791,0.025071209813714756,0.019565164083135345,0.0179234701162566,0.013533239528068954,0.02059645099969788,0.027514462421685384,0.026042508980713284,0.020324561590183737,0.022229237310510352,0.01312671950322116,0.018725905435622716,0.01731382867169588,0.02868441312106839,0.019080024971465995,0.021081741153122207,0.014233878151155371,0.023253557340204803,0.014640387520682037,0.019442785557969477,0.01012595092864023,0.022906517508369043,0.014242903385574796,0.010546013894985723,0.022303936188450713,0.019440510714991345,0.017812418474285895,0.013274424213512015,0.012064857710485537,0.006669592085699156,0.02765541864365716,0.01752596092550212,0.023094520153958156,0.013422795924950014,0.024528396019961957
16,0.027651037110067354,0.02963430566457998,0.024539339773418063,0.018992412967785192,0.022120336531843615,0.021639228681818997,0.01857405353118945,0.014473904419549937,0.023393294226704595,0.030524606496117,0.025613428507653278,0.020352517402271866,0.022593288600809506,0.011619329206141789,0.019512475224815116,0.015488982461759667,0.02897234357436938,0.015513618572492362,0.020451720723190334,0.01666235744772832,0.024668511507043123,0.01913074442935782,0.01921829094289673,0.017281022635194453,0.02350968419922444,0.011607116960436693,0.013859001702219965,0.021684206371234242,0.018889236804026516,0.019487794277792823,0.019573226821537976,0.009872856892159346,0.005465663354826847,0.02717083229423133,0.020243443202540224,0.022862756335933557,0.00632015663364398,0.023141388737840673
17,0.03594498629059311,0.027843574974568335,0.022870134159081183,0.01878775132809503,0.024406040539792586,0.018098347245475693,0.016906407931370028,0.01232844098119108,0.022804660189825614,0.02590655875579498,0.01857790308886607,0.019426428880781044,0.016637566412123942,0.014411719419158805,0.02078855964387223,0.011332426810462985,0.023351172113647286,0.015219493331221292,0.02338715696084735,0.01641343013273997,0.023664827428936726,0.01347381235117007,0.02279107584862824,0.009528579288599884,0.023355514840858533,0.01177249137983888,0.014663222721966759,0.022890853347962297,0.01959611835094682,0.022874619299694848,0.012569549432820456,0.008434474473272814,0.0012378027120591472,0.02544760431407334,0.02071463300800198,0.021211664006348573,0.014232686421024654,0.02000261698681505
18,0.035205884569468285,0.026779045885468315,0.023290302467170055,0.01662807093050887,0.021999871199392933,0.01887751887028051,0.019406032706891858,0.012528048372198433,0.02082596400796089,0.030505482730480513,0.018925408265921116,0.021906236387676286,0.019215492306930537,0.016632423874972605,0.02281493576691595,0.01704460335419687,0.025987905167185493,0.017205763907961816,0.015499711545903986,0.014209756451300029,0.024391103041960526,0.016883656401391105,0.01916931783696703,0.014508574102469014,0.01952042746313885,0.009819000443574229,0.013488681971718907,0.02057587823059816,0.017942834729607313,0.017189917712505536,0.016462260164599413,0.01188549411983649,0.005710850811344286,0.02365168637339626,0.0176314446166335,0.024361363069309822,0.01807435770346452,0.02355790299428334
19,0.034735239262443644,0.03153990231660027,0.024246209450154616,0.01845942187915159,0.0193058813417031,0.01856655884552872,0.019408239658180552,0.013195253722787362,0.0198558631387502,0.0329323710592409,0.02122326672419691,0.020642617731659024,0.019454788947564083,0.012282122165240111,0.0182747471264031,0.017221805236373715,0.03201028182034462,0.021838403996300045,0.02412197655564094,0.01413107379439485,0.022164249025292564,0.018064116249193105,0.024392000714319188,0.010681577739295957,0.016177588894192373,0.010347858298001986,0.01204230330887902,0.02291791505159094,0.018777399845337595,0.013315755948712314,0.015602714610074777,0.012406834541325228,0.005586436142078411,0.024185696427897058,0.015081802184440378,0.019471319391217753,0.01544596009469291,0.021526527241105282
20,0.03318065521811667,0.027992828829997658,0.02471595764795948,0.018113870257191876,0.02178577501508727,0.022848057037940114,0.015523984119248505,0.014764250129709975,0.02358996040647839,0.031127566567456785,0.020497817622473057,0.02255291345266597,0.020095943202051453,0.012321746873241361,0.020225982904360673,0.01701355197783653,0.019407360488856485,0.013406432305284044,0.0192706500814646,0.013098977196938673,0.024034667037350833,0.024396444535814996,0.021981119380700704,0.020848817419684924,0.015523974311721244,0.015161861813925466,0.015162067275751916,0.023224858326436167,0.018082123307230226,0.012570046861852393,0.01632509542400638,0.012232300544431442,0.00783960291863791,0.023603452824792148,0.01493486795167162,0.026688234060190944,0.016424963099260646,0.023195443223225563
