player,wta_rank,original_matches,original_edge,original_edge_rank,bootstrap_edge_mean,bootstrap_edge_median,bootstrap_edge_bias,bootstrap_edge_se,edge_ci_lower,edge_ci_upper,edge_ci_width,bootstrap_rank_median,rank_ci_lower,rank_ci_upper,rank_ci_width,probability_top_10_given_valid,probability_top_20_given_valid,probability_top_10_unconditional,probability_top_20_unconditional,valid_edge_replicates,valid_rank_replicates,availability_rate
Belinda Bencic,11,42,0.030803368807034992,2.0,0.030781205684041232,0.030784328658274546,-2.2163122993759665e-05,0.002782565995005844,0.025421329333327747,0.036508295914539496,0.011086966581211749,2.0,1.0,9.0,8.0,0.9844,0.9994,0.9844,0.9994,5000,5000,1.0
Linda Noskova,12,47,0.022025533115975167,16.0,0.02209364173705671,0.02213018934152987,6.810862108154458e-05,0.003129293691642901,0.01583978351917363,0.028193655779469105,0.012353872260295475,18.0,5.0,41.0,36.0,0.2044,0.5924,0.2044,0.5924,5000,5000,1.0
Jasmine Paolini,13,49,0.02006561089702395,25.0,0.020051520207003036,0.020021376977697743,-1.409069002091326e-05,0.0025453489653736,0.015046929200544153,0.025113000278060363,0.01006607107751621,25.0,9.0,45.0,36.0,0.039,0.2986,0.039,0.2986,5000,5000,1.0
Ekaterina Alexandrova,14,47,0.019733403202692706,26.0,0.019733898296039814,0.01969892293424983,4.950933471074837e-07,0.0027511042955770102,0.014442315003002547,0.025210053462331763,0.010767738459329216,26.0,9.0,47.0,38.0,0.0398,0.28,0.0398,0.28,5000,5000,1.0
Marta Kostyuk,15,57,0.01411782302345425,47.0,0.014114486170221261,0.014090391211146362,-3.336853232989087e-06,0.002213559239505871,0.009786367775933433,0.018576748533512745,0.008790380757579312,48.0,30.0,62.0,32.0,0.0,0.0008,0.0,0.0008,5000,5000,1.0
Naomi Osaka,16,41,0.017179759816104794,35.0,0.017184694780295932,0.017218912338641312,4.93496419113823e-06,0.0027507571410622196,0.011526025240818718,0.022453862140671566,0.010927836899852848,36.0,17.0,57.0,40.0,0.0018,0.0624,0.0018,0.0624,5000,5000,1.0
Iva Jovic,17,44,0.01619697688012957,38.0,0.016211676224612795,0.01622598473541987,1.4699344483226628e-05,0.002682738258315117,0.010964859225341751,0.021363700197708283,0.010398840972366532,40.0,20.0,59.0,39.0,0.0008,0.0292,0.0008,0.0292,5000,5000,1.0
Sorana Cirstea,18,27,0.026283511984470063,5.0,0.026275207526809324,0.0263917056675788,-8.304457660739811e-06,0.0033611709286654936,0.019430626675169857,0.03262535311500736,0.013194726439837504,7.0,2.0,27.024999999999636,25.024999999999636,0.7,0.9232,0.7,0.9232,5000,5000,1.0
Madison Keys,19,32,0.020353090545969045,23.0,0.02031579376522481,0.020290670263603768,-3.7296780744235786e-05,0.0038262606611592534,0.012636214824248601,0.027743226206282195,0.015107011382033594,24.0,5.0,53.0,48.0,0.124,0.3926,0.124,0.3926,5000,5000,1.0
Clara Tauson,20,41,0.02038802537537413,22.0,0.02040504639403653,0.02054474568479647,1.7021018662397025e-05,0.0028290475326583236,0.014566557236674205,0.0256302905886779,0.011063733352003696,23.0,8.0,46.0,38.0,0.0604,0.3788,0.0604,0.3788,5000,5000,1.0
Elise Mertens,21,33,0.014142586898144646,46.0,0.014178969220574853,0.01416843071511335,3.638232243020727e-05,0.0025522155627865227,0.009160107805741753,0.019385243075873585,0.010225135270131832,48.0,27.0,63.024999999999636,36.024999999999636,0.0002,0.0036,0.0002,0.0036,5000,5000,1.0
Leylah Fernandez,22,44,0.024310588393788777,7.0,0.0242596048593553,0.024248894184203312,-5.098353443347761e-05,0.002098045592984609,0.02008650193521382,0.02840052118043583,0.008314019245222012,11.0,4.0,25.0,21.0,0.4298,0.9142,0.4298,0.9142,5000,5000,1.0
Diana Shnaider,23,27,0.01626202827359142,37.0,0.01624056624031483,0.016324128691582816,-2.1462033276593157e-05,0.0028529974850977037,0.01047427827324436,0.021785306828553893,0.011311028555309533,40.0,19.0,60.0,41.0,0.0012,0.0376,0.0012,0.0376,5000,5000,1.0
Anna Kalinskaya,24,36,0.021302741810535798,20.0,0.021286600416925917,0.021276363867717002,-1.6141393609881566e-05,0.002990804925850646,0.01540832111449201,0.027226439823214123,0.011818118708722113,21.0,6.0,43.0,37.0,0.1238,0.4862,0.1238,0.4862,5000,5000,1.0
Emma Navarro,25,29,0.015685591487019514,39.0,0.015673744352311923,0.015670825780888367,-1.1847134707591161e-05,0.0038206719598930412,0.008319920855127916,0.023156102011369986,0.01483618115624207,42.0,15.0,65.0,50.0,0.01,0.0674,0.01,0.0674,5000,5000,1.0
Hailey Baptiste,26,7,0.012473831447447684,57.0,0.01226505119536331,0.011799553030653453,-0.00020878025208437463,0.008615454762716216,-0.0032722810278067163,0.03076743029927585,0.03403971132708256,56.0,3.0,81.0,78.0,0.07145716573258606,0.1309047237790232,0.0714,0.1308,4996,4996,0.9992
Liudmila Samsonova,27,41,0.0224515647394554,15.0,0.02248676766890734,0.022472709009250365,3.520292945194056e-05,0.003390413279629278,0.015909033675990395,0.029113034752715483,0.013204001076725088,17.0,4.0,41.0,37.0,0.2554,0.6276,0.2554,0.6276,5000,5000,1.0
Marie Bouzkova,28,35,0.012066542435046967,60.0,0.012062380070186713,0.012099472866063245,-4.162364860253384e-06,0.002511503245638283,0.007020052839502548,0.01686562983090927,0.00984557699140672,55.0,37.0,68.0,31.0,0.0,0.0002,0.0,0.0002,5000,5000,1.0
Anastasia Potapova,30,29,0.012163797046979792,59.0,0.012050473950971564,0.011973564763255685,-0.00011332309600822765,0.0036260523699362833,0.004890958009510976,0.019121063807772835,0.01423010579826186,56.0,28.0,72.0,44.0,0.0002,0.006,0.0002,0.006,5000,5000,1.0
Jelena Ostapenko,31,31,0.02369892126478787,11.0,0.023680792751380846,0.02357886173804117,-1.8128513407024427e-05,0.0028648750124584295,0.01824349488495649,0.029454558380780656,0.011211063495824167,13.0,3.0,32.0,29.0,0.355,0.7938,0.355,0.7938,5000,5000,1.0
Jaqueline Cristian,32,18,0.004253824389481391,76.0,0.0042687852021698865,0.004274634005634224,1.4960812688495119e-05,0.003405948577502638,-0.0024224403263911802,0.010936453539788572,0.013358893866179753,73.0,58.0,80.0,22.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Cristina Bucsa,33,12,0.0140339578946073,48.0,0.01378793249709882,0.013807808482082386,-0.00024602539750847967,0.008050898519351842,-0.001961135622416762,0.029757961411136492,0.03171909703355325,49.0,4.0,80.0,76.0,0.0844,0.1684,0.0844,0.1684,5000,5000,1.0
Xin Yu Wang,34,18,0.018290760252916118,30.0,0.01828691091111901,0.018298488507974157,-3.849341797108191e-06,0.003162665718441918,0.011985223061533176,0.024456167747413347,0.012470944685880172,31.0,11.0,55.024999999999636,44.024999999999636,0.0236,0.1576,0.0236,0.1576,5000,5000,1.0
Sara Bejlek,35,8,-0.0014785432923493675,81.0,-0.0016450795787919278,-0.0017312864252190846,-0.00016653628644256032,0.0053371972196480915,-0.011905553609235016,0.009185611913669258,0.021091165522904274,80.0,63.0,82.0,19.0,0.00020008003201280514,0.0012004801920768306,0.0002,0.0012,4998,4998,0.9996
Katerina Siniakova,36,21,0.007376444618344134,67.0,0.007332914196732049,0.007305572752474959,-4.353042161208461e-05,0.004374094851213813,-0.0011906178864716079,0.01594141212236122,0.01713203000883283,67.0,41.0,80.0,39.0,0.0002,0.0014,0.0002,0.0014,5000,5000,1.0
Alexandra Eala,37,20,0.024861274898367834,6.0,0.02487734664825022,0.024813720324859026,1.60717498823848e-05,0.005162107888537734,0.014834887379505004,0.03528108618318208,0.020446198803677075,10.0,1.0,45.0,44.0,0.512,0.7554,0.512,0.7554,5000,5000,1.0
Elisabetta Cocciaretto,38,9,0.012427042572524865,58.0,0.012284684355635666,0.01226669677899705,-0.00014235821688919972,0.005139011870969631,0.0022438749572487237,0.02230819202863535,0.020064317071386624,55.0,18.0,76.0,58.0,0.009201840368073614,0.03720744148829766,0.0092,0.0372,4999,4999,0.9998
Emma Raducanu,39,66,0.018579496220941127,28.0,0.018546608877365138,0.018577694956707087,-3.288734357598938e-05,0.002383546108025064,0.013851464562120462,0.02331982303101546,0.009468358468894999,31.0,14.0,49.0,35.0,0.0076,0.1228,0.0076,0.1228,5000,5000,1.0
Janice Tjen,40,9,0.021579762048051968,19.0,0.021325852311682252,0.021445588853466924,-0.0002539097363697153,0.006256090505352686,0.008564164847925736,0.033435363735369567,0.02487119888744383,20.0,1.0,64.0,63.0,0.2956591318263653,0.506501300260052,0.2956,0.5064,4999,4999,0.9998
Barbora Krejcikova,41,27,0.0143346552793311,45.0,0.014457836473146989,0.014403847666181479,0.00012318119381588867,0.003415547951102267,0.007785063597612499,0.021254800868767208,0.013469737271154709,47.0,21.0,66.0,45.0,0.0024,0.0234,0.0024,0.0234,5000,5000,1.0
Tereza Valentova,42,13,0.004442556821419065,74.0,0.004575995983723304,0.00452921058170375,0.00013343916230423858,0.0038438885117237902,-0.00282043183303486,0.012245786650004802,0.015066218483039661,73.0,55.0,81.0,26.0,0.0,0.0002,0.0,0.0002,5000,5000,1.0
Marketa Vondrousova,44,32,0.014543422032138525,42.0,0.014552491583014922,0.014506715715736132,9.06955087639702e-06,0.0027492062457342035,0.009178528024279924,0.02018268429742768,0.011004156273147755,47.0,25.0,63.0,38.0,0.0,0.0104,0.0,0.0104,5000,5000,1.0
Dayana Yastremska,45,16,0.00828822363055065,66.0,0.008319378573350283,0.008426343287839949,3.115494279963202e-05,0.004410183011122737,-0.0005719582040030629,0.016841487690019384,0.017413445894022446,65.0,37.0,79.0,42.0,0.0,0.0036,0.0,0.0036,5000,5000,1.0
Magdalena Frech,46,21,0.015034380984488498,40.0,0.015023971357047054,0.01501192558375889,-1.0409627441443706e-05,0.002958911580971552,0.009360515558427589,0.020870514291346193,0.011509998732918605,45.0,22.0,63.0,41.0,0.0006,0.017,0.0006,0.017,5000,5000,1.0
Laura Siegemund,47,12,0.006849864327037148,70.0,0.006914632858728666,0.006922090629234623,6.476853169151784e-05,0.003638353526344347,-0.00020766610745716482,0.013916014981429796,0.014123681088886961,68.0,48.0,79.0,31.0,0.0002,0.0008,0.0002,0.0008,5000,5000,1.0
Mccartney Kessler,48,10,0.006922527811634308,69.0,0.006876291141084801,0.006681625690490748,-4.623667054950726e-05,0.005925562498219845,-0.003967980112498699,0.01935645529874875,0.02332443541124745,69.0,28.0,81.0,53.0,0.0038,0.013,0.0038,0.013,5000,5000,1.0
Maria Sakkari,49,53,0.013534677560530783,52.0,0.013504194256613578,0.013528504009864847,-3.048330391720519e-05,0.00214582239751491,0.009127256623870686,0.017633011837624123,0.008505755213753437,50.0,34.0,63.0,29.0,0.0,0.0006,0.0,0.0006,5000,5000,1.0
Jessica Bouzas Maneiro,50,8,0.010067580881979149,62.0,0.009900662767708908,0.010084273345038842,-0.00016691811427024111,0.008298723396065681,-0.0073835066816842695,0.025314385943298268,0.03269789262498254,61.0,9.0,82.0,73.0,0.03,0.0744,0.03,0.0744,5000,5000,1.0
Maya Joint,52,18,0.002338919266764677,79.0,0.002171084673187131,0.002245434896058246,-0.000167834593577546,0.0038488881285020206,-0.005420965294026456,0.009553698498562692,0.014974663792589148,76.0,62.0,82.0,20.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Daria Kasatkina,53,44,0.006434119645607337,71.0,0.00644968589760337,0.006404892169076868,1.556625199603326e-05,0.002214457137483925,0.0020857574832366917,0.010904244425994417,0.008818486942757726,69.0,58.0,77.0,19.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Tatjana Maria,54,14,0.022851982364363567,14.0,0.022732201447707313,0.022837620985345038,-0.00011978091665625426,0.0033109896525024864,0.01607268900157576,0.02916889616764781,0.013096207166072047,16.0,4.0,40.0,36.0,0.275,0.6766,0.275,0.6766,5000,5000,1.0
Qinwen Zheng,56,48,0.024013790315714,9.0,0.02404102766407031,0.02407553717925293,2.7237348356308477e-05,0.0029902820683255283,0.01797331827769746,0.029842558009140558,0.011869239731443097,12.0,3.0,32.0,29.0,0.419,0.8158,0.419,0.8158,5000,5000,1.0
Anna Bondar,57,16,0.018282669355133344,31.0,0.018332937098865746,0.018184534264563568,5.0267743732401726e-05,0.002843871248375484,0.013280958840591685,0.024369945002746612,0.011088986162154927,32.0,11.975000000000108,52.0,40.02499999999989,0.0198,0.1466,0.0198,0.1466,5000,5000,1.0
Talia Gibson,58,16,0.02760963211753767,4.0,0.02762073043133447,0.027628808351706183,1.1098313796802095e-05,0.00309947713355326,0.02152738425513442,0.033724918809508286,0.012197534554373866,5.0,1.0,20.0,19.0,0.8324,0.9782,0.8324,0.9782,5000,5000,1.0
Panna Udvardy,59,5,0.004299134176239139,75.0,0.004278929659050063,0.004542151437449071,-2.0204517189076517e-05,0.0039033122543602767,-0.004826845468612051,0.011199703419529038,0.01602654888814109,73.0,58.0,81.0,23.0,0.0,0.0,0.0,0.0,4967,4967,0.9934
Anhelina Kalinina,60,18,0.011126872990311329,61.0,0.010900237798868059,0.010969107216501827,-0.0002266351914432703,0.004444073619329359,0.0018454139801744617,0.019268892639293544,0.01742347865911908,59.0,28.0,77.0,49.0,0.0018,0.0086,0.0018,0.0086,5000,5000,1.0
Shuai Zhang,61,15,0.013577036365267674,51.0,0.01359673822459446,0.013658122625606681,1.9701859326785517e-05,0.005652906327249524,0.0026317619751993716,0.02485249807188909,0.022220736096689717,50.0,10.0,76.0,66.0,0.0262,0.0772,0.0262,0.0772,5000,5000,1.0
Sonay Kartal,62,5,0.013048028253528778,53.0,0.01294002559273265,0.012591169532027952,-0.00010800266079612729,0.004846161736290323,0.004943214131949195,0.023377096774286225,0.01843388264233703,53.0,14.025000000000105,73.0,58.974999999999895,0.0177347843611447,0.04735993550987505,0.0176,0.047,4962,4962,0.9924
Caty Mcnally,63,6,0.00908550387711073,63.0,0.007997952562277609,0.009007418747920017,-0.0010875513148331205,0.01114144687839389,-0.017372866067434378,0.02677974059385267,0.04415260666128705,63.0,7.0,82.0,75.0,0.03886996593868964,0.08375075135243439,0.0388,0.0836,4991,4991,0.9982
Antonia Ruzic,64,5,0.012768062710111975,55.0,0.011723061262645456,0.012675364511691954,-0.001045001447466519,0.00914977309882683,-0.011351874013934567,0.02755776495091609,0.038909638964850654,53.0,5.0,82.0,77.0,0.05074506645187273,0.11538461538461539,0.0504,0.1146,4966,4966,0.9932
Zeynep Sonmez,66,5,-0.0035626455106409745,82.0,-0.0031052855555889964,-0.0032480221126973065,0.0004573599550519781,0.006123513943709665,-0.015236655917740798,0.00959125995217369,0.024827915869914487,81.0,63.0,82.0,19.0,0.0,0.0,0.0,0.0,4963,4963,0.9926
Elsa Jacquemot,67,5,0.017579970253182385,34.0,0.01725219047466896,0.017327627486290784,-0.00032777977851342413,0.003139314842257845,0.011397181098174116,0.023134776096770608,0.011737594998596492,36.0,14.0,58.0,44.0,0.013112769820455922,0.08775469033689731,0.013,0.087,4957,4957,0.9914
Solana Sierra,68,15,0.021783870475901974,17.0,0.0214943295386553,0.02180657901935485,-0.00028954093724667396,0.005843034661079506,0.009122405032238509,0.03198251768803046,0.02286011265579195,19.0,2.0,63.0,61.0,0.2912,0.5334,0.2912,0.5334,5000,5000,1.0
Varvara Gracheva,70,15,0.00877856691622082,65.0,0.008630910833066897,0.008662516070181179,-0.00014765608315392247,0.00522133835663476,-0.0017682933548290836,0.018712741562804416,0.0204810349176335,64.0,30.0,80.0,50.0,0.002,0.0088,0.002,0.0088,5000,5000,1.0
Katie Boulter,71,18,0.02016341122263203,24.0,0.02020807957890068,0.020052599400930498,4.466835626865118e-05,0.005018949001331995,0.010643623472498217,0.03049980056358986,0.019856177091091644,25.0,3.0,59.0,56.0,0.176,0.395,0.176,0.395,5000,5000,1.0
Donna Vekic,72,33,0.017890031714520707,32.0,0.017813198400107866,0.017840110373776953,-7.683331441284136e-05,0.002627636070584345,0.012605295542468288,0.022834276903892278,0.01022898136142399,33.0,15.0,54.0,39.0,0.005,0.0864,0.005,0.0864,5000,5000,1.0
Magda Linette,73,58,0.023267591394880088,12.0,0.023259877428352057,0.02329199323321004,-7.713966528030691e-06,0.002061940557979487,0.019151616306922425,0.027171562403113827,0.008019946096191402,14.0,6.0,28.0,22.0,0.2578,0.816,0.2578,0.816,5000,5000,1.0
Renata Zarazua,74,5,0.0031899995057562257,78.0,0.0033029262444755144,0.002557991088912893,0.0001129267387192886,0.0054774590469135916,-0.004344846534173395,0.016176365411702632,0.020521211945876028,76.0,41.0,81.0,40.0,0.006234915526950925,0.014279967819790828,0.0062,0.0142,4972,4972,0.9944
Taylor Townsend,75,8,0.012529731464294445,56.0,0.012647480911905259,0.012602743812904648,0.00011774944761081332,0.0022163925261669006,0.008389719457166125,0.017163304989975654,0.00877358553280953,54.0,36.0,65.0,29.0,0.0,0.00020004000800160032,0.0,0.0002,4999,4999,0.9998
Yulia Putintseva,76,19,0.014413115379927732,44.0,0.014484505490223119,0.014369842514681725,7.139011029538671e-05,0.003277022012454579,0.008129611197207134,0.021126890016590703,0.012997278819383569,47.0,21.0,65.0,44.0,0.0022,0.0232,0.0022,0.0232,5000,5000,1.0
Elena Gabriela Ruse,77,10,0.004020829672224349,77.0,0.004054854937167842,0.004141074888072032,3.402526494349252e-05,0.007701145603002698,-0.011826476585426267,0.01904724921802497,0.030873725803451234,73.0,29.0,82.0,53.0,0.0042,0.0122,0.0042,0.0122,5000,5000,1.0
Peyton Stearns,78,15,0.016484414383337934,36.0,0.01644548137121389,0.016424623913845263,-3.8933012124042765e-05,0.0029832474297231664,0.01069927436628835,0.02250751693594678,0.01180824256965843,39.0,17.0,59.024999999999636,42.024999999999636,0.0066,0.0522,0.0066,0.0522,5000,5000,1.0
Alycia Parks,79,22,0.006938307480808274,68.0,0.006897543340513049,0.007002402815394732,-4.076414029522465e-05,0.0046555685853899775,-0.002805638254934716,0.01562519600287626,0.018430834257810974,68.0,43.0,80.02499999999964,37.024999999999636,0.0,0.0006,0.0,0.0006,5000,5000,1.0
Eva Lys,81,18,0.006199285185914517,72.0,0.006186349070145199,0.006148756932547858,-1.2936115769317594e-05,0.0028890076667119524,0.00043316552657494316,0.012028560486578688,0.011595394960003745,70.0,55.0,79.0,24.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Viktorija Golubic,82,13,0.005558552174864965,73.0,0.005501096180850566,0.005522963051056014,-5.7455994014399096e-05,0.0033108905486400808,-0.0010632516043446304,0.01207909503224296,0.01314234663658759,71.0,55.0,80.0,25.0,0.0,0.0002,0.0,0.0002,5000,5000,1.0
Kimberly Birrell,83,11,0.0018256218185211729,80.0,0.0017071753045391552,0.0018347982182984617,-0.00011844651398201767,0.00580187609051898,-0.00982822743412602,0.012553434700425626,0.022381662134551644,77.0,53.0,82.0,29.0,0.0,0.0002,0.0,0.0002,5000,5000,1.0
Veronika Kudermetova,85,29,0.014762207362338537,41.0,0.014760882237220977,0.014689727111339316,-1.3251251175603468e-06,0.0036847922429274686,0.007565853560369125,0.022345116766058867,0.014779263205689742,46.0,17.0,67.0,50.0,0.0064,0.0384,0.0064,0.0384,5000,5000,1.0
Camila Osorio,86,19,0.008830765485290456,64.0,0.008793728248638838,0.00874870405380828,-3.703723665161862e-05,0.002563955853828728,0.0037081585858792384,0.013933621356794499,0.01022546277091526,64.0,48.0,75.0,27.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Sofia Kenin,87,51,0.02384994896112812,10.0,0.023808851594486292,0.023799796248188336,-4.1097366641828365e-05,0.0024957259133600715,0.018781195065758437,0.028530019765194977,0.00974882469943654,13.0,4.0,30.0,26.0,0.3736,0.8398,0.3736,0.8398,5000,5000,1.0
Kamilla Rakhimova,89,6,0.012829509083367543,54.0,0.012700526527038573,0.012630188944372156,-0.00012898255632897045,0.004637736780710911,0.004104540564951528,0.022282785539130944,0.018178244974179417,54.0,18.0,74.0,56.0,0.012026458208057728,0.03447584686309882,0.012,0.0344,4989,4989,0.9978
Diane Parry,92,13,0.01901248497014282,27.0,0.01875427498353532,0.018929441927034794,-0.0002582099866074994,0.00454757253553337,0.009554006998757901,0.027423084380229643,0.01786907738147174,29.0,6.0,62.0,56.0,0.0836,0.2826,0.0836,0.2826,5000,5000,1.0
Ajla Tomljanovic,100,15,0.01376561365120334,50.0,0.013617090687889945,0.01376627270616136,-0.00014852296331339596,0.003574463239427889,0.0060684122880224145,0.020246091622986163,0.01417767933496375,49.0,24.0,70.0,46.0,0.0012,0.0106,0.0012,0.0106,5000,5000,1.0
