bootstrap_iteration,0-0,0-15,0-30,0-40,15-0,15-15,15-30,15-40,30-0,30-15,30-30,30-40,40-0,40-15,40-30,40-40,AD-40,40-AD
11,0.6618304446710062,0.49036016459383236,0.29281884134160446,0.09898288265938973,0.7934654153632256,0.6435105774728416,0.42919847328244276,0.1913737664929593,0.9080929438311887,0.8047669288317667,0.6259700821055,0.3511876671385874,0.9708827135267675,0.9325520667473409,0.8333129957291031,0.6183362624487405,0.8344500097573668,0.3400619817405143
12,0.6650026849108013,0.48781404085466074,0.28654031480886605,0.10225563909774436,0.7997677037871322,0.6487310068458841,0.43091762252346194,0.1918217321387549,0.907550734353099,0.8053440667280927,0.6253096019814527,0.3444678097703009,0.9727123512515388,0.9317936679144724,0.836053366428793,0.6205635948210205,0.8379065720787043,0.33351007423117707
13,0.6644774697910673,0.4893865719094819,0.28488063660477453,0.09737286093034467,0.7976311812462658,0.6494875549048317,0.43002279387821557,0.19261094841180446,0.905852417302799,0.8084036894246255,0.6245747563858617,0.34694370620922926,0.9745909137107429,0.9397435071212219,0.8376358268952955,0.62610510339594,0.8418961686081745,0.34747457185082153
14,0.6627774727429603,0.48765058839946046,0.2812366737739872,0.09553504614617112,0.7954797175688771,0.647683912526156,0.42660609163040697,0.18151109109334534,0.9041606541606542,0.8054074821111271,0.6238785758618745,0.33784541449739686,0.9715811750478686,0.9334174818554749,0.8355331184234536,0.6162266820568194,0.831580331317381,0.33485056681552733
15,0.6625408963695849,0.486685975894609,0.2769722814498934,0.09627252530239447,0.7948485903237035,0.6466215099950438,0.4228501858259644,0.18554404722129414,0.906875491322489,0.8079708383961118,0.6234345513810259,0.3393556639219762,0.9738278092158448,0.9357001468616308,0.8398449517012244,0.6212769178367331,0.8345539280958721,0.3402911769864936
16,0.6622428534587078,0.4834399962629047,0.2794997862334331,0.09584905660377359,0.7982628876854913,0.6434811548381729,0.42632322713257964,0.1916066606660666,0.9098370622568094,0.8041906808635343,0.619190577911206,0.3396784771654803,0.9738262552194724,0.9332098844262818,0.8339050707914926,0.6146319433990667,0.8314952209076933,0.3351421188630491
17,0.6643849128067545,0.49141243460950884,0.2846350287295169,0.10667316122747199,0.7968947147062947,0.6496311255821622,0.43034873976664734,0.19553382957449172,0.905574447413165,0.8072294978978398,0.6254167145648926,0.34586885507130904,0.9709598532708376,0.9341988600379987,0.8383502616189596,0.6244243054523845,0.8378325252260517,0.34502572898799316
18,0.6650511470851127,0.4889702431240026,0.285866780529462,0.09510869565217392,0.7985808627230575,0.6499414127887513,0.4346337682469965,0.19765455994534897,0.9050099957593748,0.8061734443900049,0.6261960694436487,0.34469515122419586,0.9745572969672298,0.9332387279881313,0.8382215580048571,0.6204277509068924,0.834927429603371,0.3418744028489534
19,0.6611752650455208,0.48267062589894677,0.2843581900643392,0.10205562273276904,0.7975820259268318,0.6403188309531717,0.4287270862709909,0.19381397418780597,0.9100108420672208,0.8019753569333072,0.6239203797975176,0.34516749479083186,0.9735311810707841,0.9290153116791594,0.8325452870739944,0.6170498656315317,0.8337389016770799,0.33270044014844224
20,0.6649571295617909,0.4909730363423212,0.2804679883002925,0.10199066109609241,0.7967079052212204,0.6472270579457846,0.4276422764227642,0.19224339685723837,0.9083343384392715,0.809085179618946,0.6269406129162579,0.345681009382077,0.971712460711751,0.9375239800485996,0.8420270102837318,0.6251989389920425,0.8379264214046823,0.34714572952181133
21,0.6630255605648349,0.4918239581386657,0.2835964163822526,0.10714285714285714,0.7935222672064778,0.6466391288021028,0.42389109620269655,0.19171744527194765,0.9053807846471517,0.8073007562536358,0.6242864556305138,0.343492985002419,0.974559686888454,0.934593115734555,0.8378511279119798,0.620063753984624,0.8345646437994723,0.3373609179415855
22,0.6634371123057836,0.49039745774420856,0.28427778359694145,0.1029655990510083,0.7970500438981563,0.6476490587942616,0.43359627570153886,0.1906945531819707,0.9085956416464891,0.8037627891189448,0.6260036705666437,0.3467652201557781,0.9744861800141743,0.9338375492563874,0.8370883882149047,0.6246794276156848,0.832630007141466,0.3461438135814277
23,0.6637764932562621,0.48563030698889614,0.2868176047397376,0.1124274661508704,0.7986819285466528,0.6477774567666845,0.4226844076992637,0.19304848350675227,0.9063442286817031,0.8094202898550724,0.6220527045769764,0.34615079679695554,0.9726385675485364,0.9347662614362702,0.8361560890874123,0.6219721889952153,0.833475493734007,0.34193380244983057
24,0.66654371080782,0.49140940830576996,0.2873224618621778,0.09835669405509909,0.7987244548072967,0.6488621096771567,0.43039022216563755,0.18509138956177054,0.9086649664907183,0.8112571781120972,0.6326818798011749,0.34313180265353144,0.9717282717282717,0.934411947728687,0.8414810355207706,0.626056543281842,0.8352685976776828,0.34749001953622694
25,0.6644155230463289,0.48935385749838695,0.2886349339484169,0.10118903178840087,0.7986388830421666,0.6480676028333541,0.4316758276875879,0.19171042341637806,0.9071765702529347,0.808915347756643,0.63213230279609,0.3503807615230461,0.9722591872248951,0.9344125393460525,0.8381552388525292,0.6278774764018953,0.8380858734841036,0.34990903577926014
26,0.6637274391324031,0.4869589604562027,0.2768206320684917,0.0941402497598463,0.7968928806741339,0.6492583821513149,0.4323765192655806,0.18930782217220032,0.9074029707714423,0.8059477756286267,0.6242216509568694,0.3413577274915744,0.9732566353819759,0.9353694081865417,0.8386521551989178,0.6198665007353773,0.8366438583671029,0.33516531449009856
27,0.6639263658891554,0.48753013165214165,0.27945088858146216,0.10257656781720953,0.7981097858687313,0.6483643892339545,0.4304906915744354,0.19604795737122557,0.905383555901551,0.8077871825876662,0.6271882305981639,0.3481516889738687,0.972196761380996,0.93353705118411,0.8372904173295802,0.6283329042697952,0.8368098159509203,0.352554245685973
28,0.6661337804378765,0.4881058092255924,0.2819773649370062,0.10830324909747292,0.7984546480221546,0.6481838703057665,0.42541793067837086,0.19625756741882222,0.9083008158921604,0.8092516091843597,0.6248271092669433,0.345695787706818,0.9734617652840574,0.9371037911746426,0.8367510314674549,0.62220173335792,0.8341346153846154,0.3438273184881836
29,0.6615414787213179,0.4870026040476952,0.28454864697376575,0.0978651954905253,0.7966541577526041,0.6459663138821398,0.42763282582601553,0.19174624080781472,0.9086649628818304,0.8086098829017054,0.6276480945078662,0.3425489412704754,0.9730087594214708,0.9347169568849194,0.8377664475704896,0.6286045121769013,0.8417596848325674,0.3473401490209669
30,0.6622212548724747,0.4860901546586194,0.2886740331491713,0.10566948130277443,0.7947093630351549,0.6443434385555231,0.4320257234726688,0.18721922731356694,0.904946184544685,0.8045858496587617,0.6276310535622611,0.34322611694874466,0.97193515704154,0.9324646842546603,0.8401893869519769,0.624073867232585,0.8372916940034116,0.34421007318123115
31,0.6630944407233758,0.4882103711890946,0.2817887368091109,0.10330776605944392,0.7986654960491659,0.649520740373492,0.4315487571701721,0.19689922480620156,0.90932910852477,0.8064784459558644,0.6231428571428571,0.3483450031826862,0.9769300819589194,0.9385953608247423,0.8385116279069768,0.6225150686982891,0.8365909838762751,0.33993399339933994
32,0.6613607138682149,0.48811388556159585,0.2856540973246261,0.09962917181705809,0.7930939416913639,0.6434067499898221,0.4241813602015113,0.1906653426017875,0.9056592450339075,0.8061837961637561,0.6213389121338913,0.34452658068575026,0.9731598210654737,0.9322871076653745,0.8336658806457464,0.618419128400117,0.8337430456721439,0.33851845623475996
33,0.6622727272727272,0.4858654783456343,0.2809070958302853,0.0979649787032655,0.797288754653368,0.6466688763672522,0.4281113115176501,0.18776465344328058,0.9117502759720348,0.8097148168077093,0.6254082860581055,0.3439110824742268,0.9728133591283983,0.9376763272634009,0.8402764920076529,0.6297840375586854,0.8420356906807667,0.35035670784757267
34,0.6659561986703167,0.49237896687514476,0.2897811769704695,0.11078928312816799,0.7976083500380176,0.6476909195308014,0.4296663660955816,0.19387298747763865,0.9081504514740179,0.8080130355602415,0.6290898780833569,0.34881329113924053,0.9732491734295161,0.9347853455873096,0.8422374708981742,0.6353195861157995,0.8448992644707387,0.3532449647099329
