bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
1,43,0.8116883116883117,7,0.7,16,0.8
2,43,0.8498942917547568,6,0.6,17,0.85
3,43,0.9050135910601026,7,0.7,19,0.95
4,43,0.8933856840833586,8,0.8,17,0.85
5,43,0.9306855934762912,8,0.8,19,0.95
6,43,0.9220779220779222,8,0.8,17,0.85
7,43,0.8331319842947751,7,0.7,17,0.85
8,43,0.9320446994865599,8,0.8,17,0.85
9,43,0.8926306251887648,8,0.8,18,0.9
10,43,0.9255511929930534,8,0.8,18,0.9
11,43,0.875264270613108,8,0.8,16,0.8
12,43,0.8461189972817881,6,0.6,17,0.85
13,43,0.878284506191483,7,0.7,18,0.9
14,43,0.828148595590456,8,0.8,16,0.8
15,43,0.9219269102990034,8,0.8,18,0.9
16,43,0.9250981576562972,8,0.8,18,0.9
17,43,0.830715795832075,7,0.7,15,0.75
18,43,0.9254001812141347,9,0.9,17,0.85
19,43,0.9340078526125037,8,0.8,18,0.9
20,43,0.820749018423437,7,0.7,16,0.8
21,43,0.9250981576562972,6,0.6,18,0.9
22,43,0.8470250679553005,7,0.7,16,0.8
23,43,0.869676834793114,7,0.7,18,0.9
24,43,0.8973119903352461,9,0.9,17,0.85
25,43,0.885684083358502,6,0.6,16,0.8
26,43,0.911658109332528,5,0.5,19,0.95
27,43,0.9318936877076411,8,0.8,19,0.95
28,43,0.8973119903352461,7,0.7,19,0.95
29,43,0.9019933554817275,6,0.6,19,0.95
30,43,0.8817577771066143,8,0.8,16,0.8
31,43,0.9045605557233464,7,0.7,18,0.9
32,43,0.8719420114768952,8,0.8,16,0.8
33,43,0.8704318936877077,6,0.6,19,0.95
34,43,0.8625792811839325,8,0.8,17,0.85
35,43,0.9180006040471157,7,0.7,17,0.85
36,43,0.9107520386590153,8,0.8,17,0.85
37,43,0.9093929326487467,8,0.8,17,0.85
38,43,0.8935366958622774,9,0.9,16,0.8
39,43,0.9099969797644217,6,0.6,19,0.95
40,43,0.8252793717909997,7,0.7,15,0.75
41,43,0.8967079432195711,7,0.7,19,0.95
42,43,0.9060706735125341,6,0.6,18,0.9
43,43,0.8979160374509211,7,0.7,17,0.85
44,43,0.8961038961038961,8,0.8,18,0.9
45,43,0.9133192389006344,7,0.7,18,0.9
46,43,0.9110540622168529,7,0.7,19,0.95
47,43,0.93325279371791,6,0.6,18,0.9
48,43,0.8334340078526125,7,0.7,17,0.85
49,43,0.8938387194201147,7,0.7,16,0.8
50,43,0.891271519178496,7,0.7,17,0.85
51,43,0.8995771670190275,8,0.8,17,0.85
52,43,0.9173965569314406,7,0.7,18,0.9
53,43,0.8763213530655392,7,0.7,17,0.85
54,43,0.8514044095439445,7,0.7,16,0.8
55,43,0.8850800362428269,8,0.8,16,0.8
56,43,0.8012684989429175,7,0.7,17,0.85
57,43,0.821353065539112,4,0.4,16,0.8
58,43,0.8662035638779824,8,0.8,18,0.9
59,43,0.8834189066747207,7,0.7,19,0.95
60,43,0.8278465720326185,7,0.7,17,0.85
