player,wta_rank,original_matches,original_edge,original_edge_rank,bootstrap_edge_mean,bootstrap_edge_median,bootstrap_edge_bias,bootstrap_edge_se,edge_ci_lower,edge_ci_upper,edge_ci_width,bootstrap_rank_median,rank_ci_lower,rank_ci_upper,rank_ci_width,probability_top_10_given_valid,probability_top_20_given_valid,probability_top_10_unconditional,probability_top_20_unconditional,valid_edge_replicates,valid_rank_replicates,availability_rate
Linda Noskova,12,47,0.022025533115975167,13.0,0.02209364173705671,0.02213018934152987,6.810862108154458e-05,0.003129293691642901,0.01583978351917363,0.028193655779469105,0.012353872260295475,13.0,4.0,27.0,23.0,0.3496,0.8438,0.3496,0.8438,5000,5000,1.0
Jasmine Paolini,13,49,0.02006561089702395,19.0,0.020051520207003036,0.020021376977697743,-1.409069002091326e-05,0.0025453489653736,0.015046929200544153,0.025113000278060363,0.01006607107751621,18.0,7.0,30.0,23.0,0.1036,0.6706,0.1036,0.6706,5000,5000,1.0
Ekaterina Alexandrova,14,47,0.019733403202692706,20.0,0.019733898296039814,0.01969892293424983,4.950933471074837e-07,0.0027511042955770102,0.014442315003002547,0.025210053462331763,0.010767738459329216,19.0,7.0,31.0,24.0,0.0924,0.6066,0.0924,0.6066,5000,5000,1.0
Marta Kostyuk,15,57,0.01411782302345425,33.0,0.014114486170221261,0.014090391211146362,-3.336853232989087e-06,0.002213559239505871,0.009786367775933433,0.018576748533512745,0.008790380757579312,31.0,22.0,37.0,15.0,0.0,0.0156,0.0,0.0156,5000,5000,1.0
Naomi Osaka,16,41,0.017179759816104794,25.0,0.017184694780295932,0.017218912338641312,4.93496419113823e-06,0.0027507571410622196,0.011526025240818718,0.022453862140671566,0.010927836899852848,25.0,13.0,35.0,22.0,0.01,0.251,0.01,0.251,5000,5000,1.0
Iva Jovic,17,44,0.01619697688012957,27.0,0.016211676224612795,0.01622598473541987,1.4699344483226628e-05,0.002682738258315117,0.010964859225341751,0.021363700197708283,0.010398840972366532,27.0,15.0,36.0,21.0,0.0038,0.1458,0.0038,0.1458,5000,5000,1.0
Sorana Cirstea,18,27,0.026283511984470063,4.0,0.026275207526809324,0.0263917056675788,-8.304457660739811e-06,0.0033611709286654936,0.019430626675169857,0.03262535311500736,0.013194726439837504,5.0,1.0,19.0,18.0,0.8238,0.9832,0.8238,0.9832,5000,5000,1.0
Madison Keys,19,32,0.020353090545969045,18.0,0.02031579376522481,0.020290670263603768,-3.7296780744235786e-05,0.0038262606611592534,0.012636214824248601,0.027743226206282195,0.015107011382033594,17.0,4.0,34.0,30.0,0.2098,0.6392,0.2098,0.6392,5000,5000,1.0
Clara Tauson,20,41,0.02038802537537413,17.0,0.02040504639403653,0.02054474568479647,1.7021018662397025e-05,0.0028290475326583236,0.014566557236674205,0.0256302905886779,0.011063733352003696,17.0,6.0,30.0,24.0,0.1436,0.7078,0.1436,0.7078,5000,5000,1.0
Elise Mertens,21,33,0.014142586898144646,32.0,0.014178969220574853,0.01416843071511335,3.638232243020727e-05,0.0025522155627865227,0.009160107805741753,0.019385243075873585,0.010225135270131832,31.0,20.0,37.0,17.0,0.0006,0.034,0.0006,0.034,5000,5000,1.0
