bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
110,38,0.8713207134259766,7,0.7,17,0.85
111,38,0.8345552029762556,7,0.7,17,0.85
112,38,0.9098369624685414,7,0.7,17,0.85
113,38,0.8404639457271036,7,0.7,16,0.8
114,38,0.9063354852828537,7,0.7,18,0.9
115,38,0.8700076594813436,7,0.7,17,0.85
116,38,0.8654119706751285,7,0.7,18,0.9
117,38,0.9288762446657184,9,0.9,18,0.9
118,38,0.9017397964766386,7,0.7,17,0.85
119,38,0.9374110953058321,8,0.8,18,0.9
120,38,0.9041470620417988,7,0.7,16,0.8
121,38,0.8728526096947149,8,0.8,18,0.9
122,38,0.8695699748331327,8,0.8,17,0.85
123,38,0.793850530692636,8,0.8,15,0.75
124,38,0.9271255060728744,7,0.7,19,0.95
125,38,0.9216544479702374,8,0.8,17,0.85
126,38,0.8892657840026261,7,0.7,19,0.95
127,38,0.933690775796039,7,0.7,19,0.95
128,38,0.9207790786738155,8,0.8,18,0.9
129,38,0.9006455848561111,8,0.8,18,0.9
130,38,0.8516249042564832,8,0.8,17,0.85
131,38,0.9080862238756976,8,0.8,18,0.9
132,38,0.854251012145749,8,0.8,16,0.8
133,38,0.9238428712112922,8,0.8,18,0.9
134,38,0.8927672611883138,7,0.7,18,0.9
135,38,0.9323777218514061,7,0.7,19,0.95
136,38,0.9280008753692964,8,0.8,19,0.95
137,38,0.9249370828318196,8,0.8,19,0.95
138,38,0.8984571616150564,7,0.7,18,0.9
139,38,0.8371813108655214,6,0.6,18,0.9
140,38,0.903271692745377,9,0.9,18,0.9
141,38,0.8612539665171244,7,0.7,17,0.85
142,38,0.8632235474340738,7,0.7,18,0.9
143,38,0.8789801947696685,8,0.8,16,0.8
144,38,0.8645366013787066,7,0.7,18,0.9
145,38,0.8855454644928329,7,0.7,18,0.9
146,38,0.9142138089506511,9,0.9,18,0.9
147,38,0.8975817923186344,8,0.8,19,0.95
148,38,0.9236240288871868,7,0.7,18,0.9
149,38,0.8925484188642083,10,1.0,17,0.85
150,38,0.8069810701389648,8,0.8,17,0.85
151,38,0.8575336470073311,7,0.7,16,0.8
152,38,0.8881715723820987,8,0.8,17,0.85
153,38,0.8573148046832257,7,0.7,18,0.9
154,38,0.9238428712112922,9,0.9,19,0.95
155,38,0.896925265346318,6,0.6,18,0.9
156,38,0.9026151657730606,8,0.8,17,0.85
157,38,0.8630047051099682,6,0.6,17,0.85
158,38,0.891891891891892,7,0.7,17,0.85
159,38,0.8312725681146734,6,0.6,18,0.9
160,38,0.945070576649524,8,0.8,18,0.9
161,38,0.8144217091585513,6,0.6,16,0.8
162,38,0.8560017507385929,7,0.7,17,0.85
163,38,0.8881715723820987,7,0.7,18,0.9
164,38,0.920122551701499,7,0.7,17,0.85
165,38,0.8721960827223986,6,0.6,18,0.9
166,38,0.8995513732355837,8,0.8,18,0.9
167,38,0.8868585184374658,6,0.6,18,0.9
168,38,0.9048035890141154,6,0.6,18,0.9
169,38,0.9174964438122333,7,0.7,18,0.9
170,38,0.901520954152533,6,0.6,16,0.8
171,38,0.8713207134259766,8,0.8,15,0.75
172,38,0.8881715723820987,8,0.8,17,0.85
173,38,0.8247072983915088,7,0.7,17,0.85
174,38,0.8336798336798338,9,0.9,15,0.75
175,38,0.9280008753692964,8,0.8,19,0.95
176,38,0.8492176386913229,7,0.7,19,0.95
177,38,0.8621293358135463,6,0.6,18,0.9
178,38,0.9074296969033812,9,0.9,18,0.9
179,38,0.8457161615056351,8,0.8,17,0.85
180,38,0.8494364810154285,7,0.7,18,0.9
181,38,0.8975817923186344,7,0.7,19,0.95
182,38,0.8875150454097821,7,0.7,18,0.9
183,38,0.8728526096947149,7,0.7,17,0.85
184,38,0.8973629499945289,9,0.9,17,0.85
185,38,0.8907976802713643,7,0.7,16,0.8
186,38,0.9131195973301236,8,0.8,18,0.9
187,38,0.8128898128898129,6,0.6,19,0.95
188,38,0.9137761243024399,9,0.9,17,0.85
189,38,0.8271145639566692,7,0.7,16,0.8
190,38,0.8299595141700404,7,0.7,16,0.8
191,38,0.8479045847466901,9,0.9,16,0.8
192,38,0.8953933690775795,7,0.7,18,0.9
193,38,0.889703468650837,7,0.7,18,0.9
194,38,0.9290950869898239,9,0.9,18,0.9
195,38,0.913338439654229,7,0.7,19,0.95
196,38,0.908742750848014,8,0.8,17,0.85
197,38,0.9343473027683553,6,0.6,19,0.95
198,38,0.8951745267534742,7,0.7,17,0.85
199,38,0.9089615931721193,8,0.8,16,0.8
200,38,0.8857643068169385,7,0.7,18,0.9
201,38,0.8818251449830398,8,0.8,19,0.95
202,38,0.8763540868804026,7,0.7,19,0.95
203,38,0.7881606302658934,8,0.8,15,0.75
204,38,0.8684757632126053,8,0.8,19,0.95
205,38,0.8551263814421708,8,0.8,15,0.75
206,38,0.8988948462632673,8,0.8,19,0.95
207,38,0.945070576649524,8,0.8,19,0.95
208,38,0.8706641864536601,8,0.8,16,0.8
209,38,0.8365247838932051,8,0.8,16,0.8
210,38,0.8925484188642083,7,0.7,18,0.9
211,38,0.8875150454097821,8,0.8,18,0.9
212,38,0.9107123317649634,9,0.9,18,0.9
213,38,0.8503118503118502,7,0.7,16,0.8
214,38,0.8750410329357698,7,0.7,19,0.95
215,38,0.8612539665171244,7,0.7,18,0.9
216,38,0.8065433854907539,8,0.8,15,0.75
217,38,0.8691322901849217,7,0.7,18,0.9
218,38,0.9216544479702374,7,0.7,19,0.95
219,38,0.908305066199803,7,0.7,17,0.85
220,38,0.901083269504322,9,0.9,18,0.9
221,38,0.8995513732355837,10,1.0,19,0.95
222,38,0.8949556844293686,7,0.7,19,0.95
223,38,0.890141153299048,9,0.9,17,0.85
224,38,0.8155159207790788,6,0.6,18,0.9
225,38,0.8080752817594923,5,0.5,16,0.8
226,38,0.8671627092679723,8,0.8,16,0.8
227,38,0.8772294561768246,6,0.6,18,0.9
228,38,0.8831381989276726,8,0.8,18,0.9
229,38,0.9023963234489549,9,0.9,17,0.85
230,38,0.9052412736623262,7,0.7,19,0.95
231,38,0.8586278586278586,9,0.9,16,0.8
232,38,0.8881715723820987,7,0.7,17,0.85
233,38,0.9203413940256046,7,0.7,19,0.95
234,38,0.8575336470073311,7,0.7,18,0.9
235,38,0.8940803151329467,7,0.7,18,0.9
236,38,0.9076485392274865,7,0.7,19,0.95
237,38,0.9341284604442499,9,0.9,16,0.8
238,38,0.9100558047926468,8,0.8,17,0.85
239,38,0.8719772403982929,9,0.9,18,0.9
240,38,0.8942991574570521,8,0.8,18,0.9
241,38,0.8643177590546011,8,0.8,17,0.85
242,38,0.8988948462632673,7,0.7,19,0.95
243,38,0.8872962030856767,7,0.7,18,0.9
244,38,0.9069920122551701,8,0.8,17,0.85
245,38,0.9098369624685414,9,0.9,18,0.9
246,38,0.9104934894408577,8,0.8,18,0.9
247,38,0.9096181201444359,6,0.6,19,0.95
248,38,0.9074296969033812,7,0.7,18,0.9
249,38,0.8159536054272897,6,0.6,17,0.85
250,38,0.8352117299485722,6,0.6,18,0.9
251,38,0.9013021118284277,7,0.7,17,0.85
252,38,0.8842324105481999,7,0.7,18,0.9
253,38,0.8669438669438669,7,0.7,18,0.9
254,38,0.7991027464711675,7,0.7,17,0.85
255,38,0.8660684976474451,7,0.7,17,0.85
256,38,0.8756975599080862,9,0.9,18,0.9
257,38,0.9100558047926468,9,0.9,18,0.9
258,38,0.890578837947259,6,0.6,19,0.95
259,38,0.9199037093773936,8,0.8,18,0.9
260,38,0.8973629499945289,8,0.8,19,0.95
261,38,0.8932049458365248,8,0.8,19,0.95
262,38,0.8770106138527192,8,0.8,18,0.9
263,38,0.9089615931721193,6,0.6,19,0.95
264,38,0.8967064230222126,8,0.8,18,0.9
265,38,0.8654119706751285,7,0.7,17,0.85
266,38,0.8796367217419849,8,0.8,17,0.85
267,38,0.9034905350694824,9,0.9,17,0.85
268,38,0.8695699748331327,5,0.5,18,0.9
269,38,0.8352117299485722,9,0.9,16,0.8
270,38,0.9378487799540431,9,0.9,18,0.9
271,38,0.8632235474340738,8,0.8,17,0.85
272,38,0.9124630703578072,8,0.8,18,0.9
273,38,0.9227486595907649,7,0.7,19,0.95
274,38,0.9238428712112922,7,0.7,18,0.9
275,38,0.8573148046832257,8,0.8,17,0.85
276,38,0.8198927672611882,7,0.7,17,0.85
277,38,0.8730714520188204,8,0.8,17,0.85
278,38,0.9144326512747565,8,0.8,17,0.85
279,38,0.9253747674800306,8,0.8,19,0.95
280,38,0.8796367217419849,8,0.8,17,0.85
281,38,0.9367545683335156,7,0.7,17,0.85
