bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
1,82,0.84906563925077,6,0.6,16,0.8
2,82,0.8692656806086134,5,0.5,16,0.8
3,82,0.8518300845659059,5,0.5,16,0.8
4,82,0.884763988202131,8,0.8,16,0.8
5,81,0.883152664859982,6,0.6,18,0.9
6,82,0.9052905388491637,7,0.7,17,0.85
7,82,0.8399669137253621,6,0.6,16,0.8
8,81,0.8764453477868112,6,0.6,15,0.75
9,82,0.8244250715599525,8,0.8,16,0.8
10,82,0.8575331134837453,8,0.8,14,0.7
11,82,0.8596227729345568,7,0.7,17,0.85
12,82,0.864041531981585,6,0.6,13,0.65
13,82,0.9052470042772717,8,0.8,16,0.8
14,82,0.9062047648588936,6,0.6,14,0.7
15,82,0.9000228556502433,7,0.7,18,0.9
16,82,0.9151075848107879,7,0.7,17,0.85
17,82,0.7988920451453512,5,0.5,13,0.65
18,82,0.8836103220469956,7,0.7,15,0.75
19,81,0.9200542005420053,7,0.7,16,0.8
20,82,0.8479990422394184,6,0.6,14,0.7
21,82,0.9312371436967382,5,0.5,15,0.75
22,82,0.7614958478902059,7,0.7,14,0.7
23,82,0.8064670606545423,7,0.7,14,0.7
24,82,0.894689870593485,8,0.8,17,0.85
25,82,0.9017860058118654,4,0.4,18,0.9
26,82,0.877145438121048,5,0.5,16,0.8
27,82,0.8639109282659092,7,0.7,15,0.75
28,82,0.854964573742123,7,0.7,14,0.7
29,82,0.881107084163211,5,0.5,16,0.8
30,82,0.8444509746302283,6,0.6,15,0.75
31,82,0.8697010263275324,8,0.8,17,0.85
32,82,0.8318694833534681,7,0.7,17,0.85
33,82,0.8882249866675374,7,0.7,16,0.8
34,82,0.9044416146972714,7,0.7,14,0.7
35,82,0.8908588282669976,8,0.8,15,0.75
36,82,0.9140845223713281,8,0.8,16,0.8
37,82,0.9144763335183554,7,0.7,15,0.75
38,82,0.8167194523350857,6,0.6,16,0.8
39,82,0.8899663695432135,5,0.5,16,0.8
40,82,0.8144338873107608,7,0.7,17,0.85
41,82,0.9206147081551137,5,0.5,17,0.85
42,82,0.8830008380405089,6,0.6,15,0.75
43,82,0.8968230646161883,7,0.7,14,0.7
44,82,0.8660441222886125,7,0.7,15,0.75
45,82,0.8926655130005116,7,0.7,16,0.8
46,82,0.8842415733394281,7,0.7,15,0.75
47,82,0.9061176957151098,7,0.7,17,0.85
48,81,0.8555781391147244,7,0.7,13,0.65
49,82,0.8658699840010449,6,0.6,16,0.8
50,82,0.829692754758873,5,0.5,14,0.7
51,82,0.8840021331940228,8,0.8,15,0.75
52,82,0.8966489263286207,7,0.7,16,0.8
53,82,0.865347569138342,7,0.7,15,0.75
54,82,0.8773413436945614,6,0.6,15,0.75
55,82,0.8701799066183434,5,0.5,18,0.9
56,82,0.8437326541940119,5,0.5,16,0.8
57,82,0.8656305438556393,4,0.4,13,0.65
58,82,0.8610158792350977,8,0.8,15,0.75
59,82,0.8975196177664589,6,0.6,17,0.85
60,82,0.8468453760842829,6,0.6,15,0.75
61,82,0.8459964519323908,5,0.5,16,0.8
62,82,0.9022213515307845,8,0.8,15,0.75
63,82,0.9205494062972759,6,0.6,16,0.8
64,82,0.8482167150988779,8,0.8,16,0.8
65,82,0.8644986449864499,6,0.6,17,0.85
66,82,0.8880726156659157,5,0.5,15,0.75
67,82,0.8594921692188809,8,0.8,15,0.75
68,82,0.8610376465210436,7,0.7,18,0.9
69,82,0.8926872802864575,7,0.7,15,0.75
70,82,0.8774501801242911,7,0.7,15,0.75
71,82,0.8206375638053569,7,0.7,15,0.75
72,82,0.8537238384432038,7,0.7,15,0.75
73,82,0.8878767100924021,6,0.6,16,0.8
74,82,0.9208541483005191,6,0.6,15,0.75
75,81,0.9161698283649502,6,0.6,14,0.7
76,82,0.942621434246471,8,0.8,18,0.9
77,82,0.876644790544291,7,0.7,16,0.8
78,82,0.8891392126772673,7,0.7,14,0.7
79,82,0.8120830204285978,8,0.8,15,0.75
80,82,0.8910547338405111,6,0.6,17,0.85
81,82,0.8977155233399723,7,0.7,17,0.85
82,82,0.8922301672815924,7,0.7,17,0.85
83,81,0.8767389340560072,6,0.6,14,0.7
84,82,0.844995156778877,7,0.7,15,0.75
85,81,0.8064137308039746,6,0.6,14,0.7
86,82,0.8998922519345677,6,0.6,18,0.9
87,82,0.8718777549221276,7,0.7,16,0.8
88,82,0.8787562172810485,5,0.5,16,0.8
89,82,0.894776939737269,6,0.6,15,0.75
90,82,0.8982814727745672,8,0.8,15,0.75
91,82,0.870832925196722,7,0.7,15,0.75
92,82,0.9271231266529533,6,0.6,17,0.85
93,82,0.8551387120296906,6,0.6,15,0.75
94,82,0.9018730749556491,7,0.7,16,0.8
95,82,0.9207453118707895,7,0.7,16,0.8
96,82,0.8842633406253742,9,0.9,15,0.75
97,82,0.9070101544388938,8,0.8,17,0.85
98,82,0.9255341147788989,7,0.7,17,0.85
99,82,0.895604096603215,7,0.7,16,0.8
100,82,0.8909676646967273,9,0.9,16,0.8
101,82,0.8719430567799654,7,0.7,15,0.75
102,82,0.8900099041151055,5,0.5,15,0.75
103,82,0.9166748293988964,7,0.7,17,0.85
104,82,0.8925784438567278,7,0.7,16,0.8
105,82,0.8923390037113224,5,0.5,16,0.8
106,82,0.8775154819821291,6,0.6,14,0.7
107,81,0.9028455284552845,6,0.6,17,0.85
108,82,0.9080549841642995,8,0.8,17,0.85
109,82,0.8913594758437544,7,0.7,16,0.8
110,82,0.902439024390244,7,0.7,16,0.8
111,81,0.9130984643179765,6,0.6,13,0.65
112,82,0.8502628399777974,6,0.6,17,0.85
113,82,0.8532884927242846,5,0.5,17,0.85
114,82,0.8702234411902352,6,0.6,17,0.85
115,82,0.8775154819821291,8,0.8,16,0.8
116,82,0.8735973705118578,5,0.5,14,0.7
117,82,0.9155429305297068,8,0.8,17,0.85
118,82,0.8203981236599514,6,0.6,15,0.75
119,82,0.8688085676037484,7,0.7,15,0.75
120,82,0.7921877210739978,6,0.6,16,0.8
121,82,0.8681120144534779,7,0.7,15,0.75
122,82,0.880715273016184,6,0.6,15,0.75
123,82,0.9058782555697044,7,0.7,13,0.65
124,82,0.9043763128394338,6,0.6,17,0.85
125,82,0.897867894341594,6,0.6,17,0.85
126,82,0.8891827472491592,7,0.7,15,0.75
127,82,0.8743156909480742,6,0.6,16,0.8
128,82,0.8520912919972574,7,0.7,17,0.85
129,82,0.8724437043567224,7,0.7,18,0.9
130,82,0.826993611301575,8,0.8,14,0.7
131,82,0.908294424309705,6,0.6,14,0.7
132,82,0.9018513076697033,9,0.9,15,0.75
133,82,0.8974107813367291,7,0.7,16,0.8
134,81,0.8768292682926829,7,0.7,14,0.7
135,82,0.8788868209967241,6,0.6,16,0.8
136,82,0.9090998138897052,7,0.7,16,0.8
137,82,0.9198746204329513,8,0.8,15,0.75
138,82,0.8575548807696913,6,0.6,17,0.85
139,82,0.8604934643723948,5,0.5,13,0.65
140,82,0.8622130799621249,7,0.7,18,0.9
141,82,0.8935579717242955,6,0.6,15,0.75
142,82,0.8875937353751048,6,0.6,16,0.8
143,82,0.8168282887648154,6,0.6,16,0.8
144,82,0.8765141868286154,7,0.7,15,0.75
145,82,0.9124519759253819,6,0.6,15,0.75
146,82,0.9141280569432201,9,0.9,18,0.9
147,82,0.8694615861821269,9,0.9,17,0.85
148,82,0.927297264940521,6,0.6,16,0.8
149,82,0.8360923368269827,8,0.8,16,0.8
150,82,0.9013288928070005,6,0.6,17,0.85
151,82,0.8845245480567256,6,0.6,16,0.8
152,82,0.8426442898967144,8,0.8,15,0.75
153,82,0.8848292900599689,6,0.6,17,0.85
154,82,0.8843286424832121,6,0.6,15,0.75
155,82,0.8461488229340125,5,0.5,15,0.75
156,82,0.8902928788324028,7,0.7,16,0.8
157,82,0.8738150433713172,5,0.5,14,0.7
158,82,0.8986297493497023,7,0.7,17,0.85
159,82,0.8601016532253677,6,0.6,16,0.8
160,82,0.9231832478967361,8,0.8,17,0.85
161,82,0.8601234205113136,4,0.4,17,0.85
162,82,0.8913377085578085,6,0.6,17,0.85
163,82,0.8516341789923924,5,0.5,16,0.8
164,82,0.8593615655032053,4,0.4,14,0.7
165,82,0.8871801569421317,6,0.6,16,0.8
166,82,0.8873760625156453,7,0.7,17,0.85
167,82,0.8666318390091532,6,0.6,14,0.7
168,82,0.9027873009653791,6,0.6,16,0.8
169,82,0.9077067075891644,7,0.7,16,0.8
170,82,0.8700928374745596,6,0.6,16,0.8
171,82,0.8719648240659115,7,0.7,16,0.8
172,82,0.9200922932924107,6,0.6,17,0.85
173,82,0.8828920016107792,7,0.7,15,0.75
174,82,0.8493486139680674,6,0.6,15,0.75
175,82,0.9061176957151098,7,0.7,17,0.85
176,82,0.8782555697042914,4,0.4,14,0.7
177,82,0.9226172984621412,4,0.4,18,0.9
178,82,0.8904887844059164,7,0.7,17,0.85
179,82,0.8413600200259032,7,0.7,15,0.75
180,82,0.8782120351323995,7,0.7,16,0.8
181,82,0.8595792383626648,7,0.7,17,0.85
182,82,0.9063789031464613,7,0.7,15,0.75
183,82,0.8881379175237536,7,0.7,15,0.75
184,82,0.8919689598502412,9,0.9,16,0.8
185,82,0.8468018415123911,6,0.6,17,0.85
186,82,0.8743592255199661,4,0.4,16,0.8
187,82,0.8084261163896779,5,0.5,12,0.6
188,82,0.9087950718864619,8,0.8,17,0.85
189,82,0.8715077110610463,5,0.5,16,0.8
190,82,0.8803887637269948,7,0.7,13,0.65
191,82,0.8982379382026752,6,0.6,17,0.85
192,82,0.8631490732578009,8,0.8,15,0.75
193,82,0.9179155646978158,8,0.8,17,0.85
194,82,0.87078939062483,9,0.9,15,0.75
195,82,0.9129961580740307,5,0.5,17,0.85
196,82,0.9118642592048412,7,0.7,16,0.8
197,82,0.8477813693799588,6,0.6,16,0.8
198,82,0.8555522904626637,7,0.7,14,0.7
199,82,0.8973672467648371,6,0.6,15,0.75
200,82,0.887049553226456,7,0.7,15,0.75
201,82,0.8639762301237471,8,0.8,16,0.8
202,81,0.8416666666666667,5,0.5,15,0.75
203,82,0.8690915423210457,7,0.7,13,0.65
204,82,0.8259052470042773,8,0.8,15,0.75
205,81,0.8519421860885276,7,0.7,15,0.75
206,82,0.8715947802048303,6,0.6,15,0.75
207,82,0.9047245894145688,7,0.7,17,0.85
208,82,0.8007857990226489,5,0.5,15,0.75
209,82,0.8649992925632068,8,0.8,15,0.75
210,82,0.8080996071004887,7,0.7,16,0.8
211,81,0.9040876242095753,8,0.8,16,0.8
212,82,0.8394444988626594,6,0.6,15,0.75
213,82,0.89251314199889,9,0.9,15,0.75
214,82,0.9118424919188951,7,0.7,16,0.8
215,82,0.8530708198648251,5,0.5,13,0.65
216,82,0.8107769832718409,6,0.6,13,0.65
217,82,0.8960829768940259,7,0.7,16,0.8
218,82,0.83556992196428,5,0.5,15,0.75
219,82,0.9014377292367302,7,0.7,18,0.9
220,82,0.8444074400583363,7,0.7,15,0.75
221,82,0.901067685375649,7,0.7,15,0.75
222,82,0.9093174867491646,5,0.5,16,0.8
223,82,0.9072931291561912,8,0.8,17,0.85
224,82,0.8845463153426716,6,0.6,14,0.7
225,82,0.8382037635637402,6,0.6,15,0.75
226,82,0.8871801569421317,6,0.6,15,0.75
227,82,0.9241627757643038,5,0.5,16,0.8
228,82,0.892469607426998,7,0.7,17,0.85
229,82,0.8828920016107792,5,0.5,16,0.8
230,82,0.8851775666351042,7,0.7,17,0.85
231,82,0.911428913485922,9,0.9,16,0.8
232,82,0.8980420326291617,7,0.7,17,0.85
233,82,0.9314983511280897,6,0.6,16,0.8
234,82,0.8535714674415822,6,0.6,14,0.7
235,82,0.8880290810940239,6,0.6,16,0.8
236,82,0.8730314210772631,7,0.7,15,0.75
237,82,0.87261784264429,6,0.6,17,0.85
238,82,0.9057258845680826,6,0.6,16,0.8
239,80,0.8716127519924988,7,0.7,14,0.7
240,82,0.8835667874751038,7,0.7,14,0.7
