player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank,edge_rank
Diana Shnaider,0.01626202827359142,0.05086732738271711,-0.03460529910912569,3785.0,27.0,0.9992073976221929,0.492998678996037,0.002652030044823286,-0.004125183088901347,0.010948925661675124,-0.002594804804155658,0.0014115938853527512,0.018831336729064747,0.017023441061801207,-0.02788531121606868,70.0,80.0,280.0,66.0,28.0,413.0,357.0,572.0,23,33
Iva Jovic,0.01619697688012957,0.05030889752004983,-0.03411192063992026,6041.0,44.0,0.9988412514484357,0.4875020691938421,0.0028010409320108403,-0.00271387334730445,0.010584108193959272,-0.002808165226871743,0.002053156913731824,0.018826672168493954,0.016043919311853932,-0.02858988206574407,118.0,84.0,432.0,114.0,65.0,659.0,537.0,936.0,17,34
Emma Navarro,0.015685591487019514,0.04686544450194145,-0.031179853014921943,3457.0,29.0,0.9936361006653167,0.4486549030951692,0.0017421927196394796,-0.003274520695351869,0.009504580525781807,-0.002711863410975261,0.002207894068374794,0.016025169590116645,0.01738560759802872,-0.025193468908594814,42.0,58.0,222.0,63.0,40.0,321.0,333.0,472.0,25,35
Magdalena Frech,0.015034380984488498,0.04352218909875575,-0.02848780811426725,3007.0,21.0,0.998004655803126,0.4163618224143665,0.0023367321595474874,-0.002596245093364084,0.009597995519669424,-0.0025733363644119107,0.002411391853891945,0.01561106231489457,0.013565007250752324,-0.023318226656491255,49.0,40.0,195.0,52.0,38.0,272.0,226.0,380.0,46,36
Veronika Kudermetova,0.014762207362338537,0.053783572426511335,-0.0390213650641728,3992.0,29.0,0.9982464929859719,0.5370741482965932,0.00463388723817507,-0.0031779126047311937,0.010900242437603298,-0.0037649350008981818,0.003345993772582768,0.01876273644836123,0.016140712529788968,-0.03207851745854342,129.0,65.0,294.0,101.0,70.0,434.0,357.0,694.0,85,37
Marketa Vondrousova,0.014543422032138525,0.04753405045030587,-0.03299062841816734,4300.0,32.0,0.9955813953488372,0.46511627906976744,0.002801283828741247,-0.006082126775755449,0.009637600844055894,-0.0035644736678086828,0.0017306680347703189,0.019345304233573876,0.014019193509164527,-0.023344027974603214,84.0,134.0,280.0,103.0,39.0,482.0,334.0,544.0,44,38
Victoria Mboko,0.01454058637898759,0.05251721780639383,-0.037976631427406246,3283.0,24.0,0.998172403289674,0.5229972586049345,0.004761040752980805,-0.00844182970907633,0.012713279212721572,-0.001994382411154263,0.002034298985706733,0.017505331205805864,0.015503267649178865,-0.027540419307175653,109.0,142.0,282.0,44.0,35.0,333.0,282.0,490.0,9,39
Yulia Putintseva,0.014413115379927732,0.04295122987950029,-0.02853811449957256,2788.0,19.0,0.9996413199426112,0.413558106169297,0.0010801219927893976,-0.0026601734382921487,0.010086492992408366,-0.003309219400195689,0.0011635197857273875,0.015537385221857967,0.015083709886717176,-0.02256872166108472,21.0,38.0,190.0,62.0,17.0,251.0,233.0,341.0,76,40
Barbora Krejcikova,0.0143346552793311,0.05187801858083325,-0.037543363301502146,3850.0,27.0,0.9992207792207792,0.518961038961039,0.005028278486655207,-0.005677751996906037,0.012148025998982515,-0.0028215566368053097,0.0020816426711922713,0.018603058363319817,0.014017013060683437,-0.029044054667790798,135.0,112.0,316.0,73.0,42.0,415.0,299.0,606.0,41,41
Elise Mertens,0.014142586898144646,0.04815587918785105,-0.034013292289706405,4274.0,33.0,0.99859616284511,0.4770706598034628,0.004261038780654888,-0.006941098311613019,0.011046775417634427,-0.0035861574102895033,0.0016519040851178726,0.01683831068742455,0.014357850217019312,-0.023486036567803886,127.0,152.0,319.0,103.0,37.0,417.0,340.0,544.0,21,42
