player,Elo,Elo_matches,Elo_wins,Elo_losses,FIRST_ELO_MATCH_DATE,LAST_ELO_MATCH_DATE,Elo_rank
Conchita Martinez,1774.8281720514385,1017,719,298,1988-05-16,2005-10-24,79
Anne Smith,1772.3445507323631,394,221,173,1977-03-20,1991-08-26,80
Elise Mertens,1767.9852102616449,519,316,203,2016-06-06,2026-05-05,81
Peaches Bartkowicz,1766.7884421943197,185,129,56,1968-04-01,1974-03-18,82
Anastasia Potapova,1766.1424441852441,288,160,128,2017-07-03,2026-05-05,83
Barbora Krejcikova,1763.0327768325358,265,164,101,2014-09-08,2026-05-05,84
Leila Meskhi,1753.8009006735829,323,198,125,1987-02-23,1996-10-28,85
Danielle Collins,1752.085327818795,300,180,120,2014-08-25,2025-08-25,86
Lesley Turner,1748.8560195301147,223,147,76,1968-01-02,1978-06-26,87
Anna Kalinskaya,1748.3980032732634,245,127,118,2016-10-17,2026-05-05,88
Winnie Shaw,1748.081566964675,452,302,150,1967-12-25,1979-07-09,89
Linky Boshoff,1747.8616082251742,239,138,101,1971-03-29,1977-12-12,90
Johanna Konta,1747.7888668232954,319,195,124,2011-06-06,2021-08-16,91
Annette Van Zyl,1747.7120779391214,156,110,46,1967-12-25,1977-12-12,92
Chanda Rubin,1747.0636013373733,581,349,232,1990-08-27,2006-10-30,93
Barbara Paulus,1745.3672349187834,384,237,147,1986-07-14,1998-08-31,94
Caroline Wozniacki,1743.960569014978,910,632,278,2005-04-20,2024-08-26,95
Alisa Kleybanova,1742.8146046286502,202,110,92,2004-03-10,2014-06-23,96
Jill Cooper,1740.741654929699,193,108,85,1968-03-18,1973-11-12,97
Sandrine Testud,1738.6481637495815,556,316,240,1990-05-28,2004-08-15,98
Judy Tegart,1737.7087179632535,422,284,138,1968-01-01,1981-08-17,99
Ivanna Madruga,1737.4451031811448,238,141,97,1975-11-10,1986-07-14,100
Karolina Pliskova,1733.0808328244639,679,431,248,2007-05-07,2026-05-05,101
Agnieszka Radwanska,1732.9073354287525,790,543,247,2006-04-26,2018-09-17,102
Lesley Hunt,1731.91843469866,565,316,249,1968-01-02,1979-05-14,103
Stephanie Rehe,1730.6543115061318,238,139,99,1981-09-12,1993-03-01,104
Helen Gourlay,1728.8957089495925,517,308,209,1968-01-08,1980-12-08,105
Brigette Cuypers,1728.5745889407897,226,116,110,1971-12-20,1984-04-23,106
Diana Shnaider,1724.8099713135312,167,99,68,2023-01-16,2026-05-05,107
Anett Kontaveit,1724.7868151743282,371,225,146,2011-02-05,2023-07-03,108
Lucie Safarova,1723.6399407150773,645,366,279,2005-01-03,2018-09-10,109
Dominika Cibulkova,1721.971784192985,662,387,275,2005-07-09,2019-05-27,110
Amanda Coetzer,1721.8984394386189,839,520,319,1988-07-18,2004-03-01,111
Zina Garrison,1721.021133843253,873,597,276,1980-02-25,1996-11-11,112
Ons Jabeur,1718.1060184531862,396,240,156,2011-05-02,2025-06-30,113
Victoria Azarenka,1718.0791517853843,852,596,256,2005-04-20,2025-08-25,114
Lisa Mcshea,1717.8311589915202,115,77,38,1993-01-04,2003-03-03,115
Kiki Bertens,1717.3194468638799,407,234,173,2011-02-04,2021-07-24,116
Julia Goerges,1716.7618962315566,575,317,258,2007-02-26,2020-09-28,117
Natalia Zvereva,1716.4498871696767,678,427,251,1986-07-20,2002-06-24,118
Maria Kirilenko,1716.0021751536044,518,287,231,2002-09-23,2014-09-29,119
Ana Ivanovic,1714.9834234308548,655,434,221,2004-05-17,2016-08-29,120
Angelique Kerber,1713.7167651920897,780,488,292,2006-10-30,2024-07-29,121
Jamie Hampton,1711.4486108129258,84,42,42,2010-08-02,2013-12-30,122
Kathy May,1710.4355112113033,206,117,89,1971-09-20,1990-08-06,123
Marise Kruger,1708.7784562358293,139,69,70,1972-12-26,1979-11-26,124
Petra Kvitova,1707.6032670531154,813,544,269,2007-07-30,2025-08-25,125
Caroline Stoll,1706.3120064253267,164,87,77,1976-08-21,1981-02-09,126
Kristien Shaw,1706.15441230066,263,119,144,1968-08-19,1978-09-18,127
Carling Bassett Seguso,1706.013189671713,271,162,109,1982-07-19,1992-04-06,128
Paola Suarez,1705.739962764292,419,234,185,1993-10-25,2007-02-19,129
Francoise Durr,1705.3569274274614,638,382,256,1968-03-04,1981-07-20,130
Jelena Ostapenko,1703.2412126322693,529,305,224,2013-04-17,2026-05-05,131
Alycia Moulton,1702.3104251647458,281,147,134,1978-01-16,1988-03-14,132
Emma Navarro,1702.0839528547292,184,106,78,2019-04-01,2026-05-17,133
Sylvia Hanika,1698.4060506544365,669,424,245,1976-01-05,1990-08-27,134
Stephanie Defina,1697.628881399754,135,88,47,1967-12-25,1971-09-01,135
Leylah Fernandez,1697.4652506909208,282,160,122,2018-09-10,2026-05-17,136
Hailey Baptiste,1697.1708220172566,117,56,61,2019-07-29,2026-05-05,137
Eliza Pande,1696.027560563148,62,41,21,1968-03-25,1980-06-09,138
Naoko Sawamatsu,1695.9930669142539,331,191,140,1988-12-04,1998-09-21,139
Paula Badosa,1694.8682521759329,285,172,113,2015-03-23,2026-04-21,140
Nell Truman,1694.5437797818618,218,110,108,1967-12-25,1972-06-26,141
Kerry Harris,1694.0760705398527,293,140,153,1968-01-08,1974-12-21,142
Nadia Petrova,1693.0794132999245,722,446,276,1998-07-13,2014-03-31,143
Marie Bouzkova,1692.914870974002,287,154,133,2015-02-23,2026-05-17,144
Jennifer Brady,1692.4082256249708,148,73,75,2016-02-15,2026-03-30,145
Lesley Charles,1692.0389016682943,345,199,146,1970-04-13,1981-07-27,146
Vlasta Kodesova,1691.216096756059,124,76,48,1968-02-19,1974-05-25,147
Ines Gorrochategui,1691.121540858917,199,112,87,1990-11-26,1999-08-30,148
Maria Bueno,1690.6057499550518,113,72,41,1968-05-27,1977-10-17,149
Anna Kournikova,1690.271804195605,310,186,124,1995-09-18,2003-04-07,150
Fabiola Zuluaga,1688.6869743057398,249,143,106,1994-03-21,2005-08-29,151
Corinne Molesworth,1688.6424174888261,419,229,190,1968-03-18,1979-07-16,152
Emma Raducanu,1688.5723940927116,165,92,73,2021-06-07,2026-05-17,153
Jaqueline Cristian,1687.9183375751495,181,92,89,2017-07-17,2026-05-17,154
Laura Arraya,1687.8429814937278,491,282,209,1981-03-23,1993-09-21,155
Maria Jose Martinez Sanchez,1687.1343522535926,216,112,104,2001-01-15,2013-02-25,156
Irina Spirlea,1686.9043516102117,368,214,154,1991-07-08,2000-06-26,157
Nicole Bradtke,1686.352586694296,367,195,172,1985-05-13,1997-01-13,158
Veronika Kudermetova,1686.1892927085435,348,194,154,2014-02-08,2025-10-13,159
Ekaterina Alexandrova,1685.4238018175713,430,243,187,2016-04-04,2026-05-17,160
Raffaella Reggi Concato,1685.2558281459746,465,280,185,1980-05-07,1992-07-28,161
Sabine Appelmans,1685.1950942222627,527,309,218,1987-07-06,2001-01-15,162
Camila Giorgi,1685.1350296018422,412,218,194,2011-06-20,2024-03-18,163
Nicole Arendt,1685.123417334703,142,67,75,1986-08-18,2000-01-03,164
Janice Townsend,1684.722812172,115,66,49,1968-04-08,1971-07-05,165
Fiorella Bonicelli,1682.3181094370154,255,151,104,1968-11-04,1986-07-20,166
Katerina Maleeva,1682.0971930574294,540,345,195,1984-07-15,1996-10-14,167
Yayuk Basuki,1681.790309535397,337,192,145,1985-10-06,2000-11-11,168
