Pts,count,sum,game_win_expectancy
0-0,50865,33760.0,0.6637
0-15,21558,10523.0,0.4881
0-30,9485,2699.0,0.2846
0-40,4128,417.0,0.101
15-0,28714,22900.0,0.7975
15-15,24184,15660.0,0.6475
15-30,15570,6693.0,0.4299
15-40,8984,1728.0,0.1923
30-0,16601,15063.0,0.9074
30-15,20675,16683.0,0.8069
30-30,17511,10964.0,0.6261
30-40,12529,4331.0,0.3457
40-0,9893,9626.0,0.973
40-15,15742,14717.0,0.9349
40-30,16285,13650.0,0.8382
40-40,26858,16747.0,0.6235
AD-40,15268,12767.0,0.8362
40-AD,11589,3979.0,0.3433
