bootstrap_iteration,ace,double_fault,forced_return_error_drawn,unforced_return_error,return_winner,winner,forced_error_drawn,unforced_error
1,0.14213673811437727,-0.1942786726657499,0.14637672898619314,-0.1469298013294168,0.18856311004432702,0.1713398164065144,0.17961882925326084,-0.18356013593361967
2,0.14203696620575998,-0.19537134468288597,0.14730236024630902,-0.14741692487081282,0.1925246989320167,0.17167258019494322,0.18049561691646332,-0.1843450368288747
3,0.1438273669111537,-0.19478736345865533,0.14761775182374123,-0.1489791279627279,0.19079639410975655,0.1720276283404176,0.17997189757548218,-0.1842162116028903
4,0.14383918339242147,-0.196399396461438,0.1500731862933614,-0.1504551307141831,0.19134196676196133,0.17364321287612092,0.18153298960275288,-0.18544947287906774
5,0.14306855041483835,-0.1948964177724188,0.1476991062659303,-0.14794920369629344,0.18982540936043615,0.1721271187242307,0.1800021782604166,-0.1844771805377136
6,0.14367189159900087,-0.19656429227386393,0.14859491610139966,-0.14834011540838507,0.19186330325431475,0.1733029252081312,0.1810417501620902,-0.1847864632586067
7,0.14374105898637105,-0.19469344433738092,0.14791605951081624,-0.1482400257207798,0.19206857629025165,0.1723135831500123,0.18013142316672007,-0.1842869621942835
8,0.14226212775789263,-0.19412037052150918,0.14803223339430668,-0.14914058290285612,0.18931840474179656,0.17219979220483456,0.18015881563993394,-0.1841430188048894
9,0.14247140500785987,-0.19558448127482655,0.14780281055961392,-0.14828980333822353,0.19036441247026026,0.17232465413301032,0.17993385762985498,-0.18453042479599377
10,0.1434757101128772,-0.1960886402082475,0.14803040057314706,-0.14912858838244836,0.19147105767488443,0.17299295957802036,0.18085058141658233,-0.18434624920754894
11,0.14460174489088665,-0.1950450694221764,0.1479644804161467,-0.1493091630382551,0.19110206800397816,0.17215521072912468,0.180404372052481,-0.18434808893723445
12,0.1433154554554141,-0.19584437442384586,0.14781889572488446,-0.14882273681475652,0.1918117590845606,0.17315638854306473,0.18093267376599295,-0.18516547745348502
13,0.1430695719170702,-0.1966136356711112,0.1476918674436103,-0.14895976137944497,0.19179344161360323,0.17250981815220304,0.18066891775812619,-0.18446836636425867
14,0.14343365653365076,-0.19616794355451678,0.1482395749187641,-0.14907492826016205,0.19089649239792014,0.17326146863433545,0.18102014294959606,-0.18496497034129006
15,0.14415897626275181,-0.19593435857389846,0.14873520733210605,-0.14947485987645628,0.190196711429295,0.17347449129609227,0.18094306786545525,-0.1852664735077394
16,0.14474541856900583,-0.19777629459635662,0.1494378998988325,-0.14961851115959227,0.1930154848548227,0.17390957658738707,0.18184152184460484,-0.18575076316535588
17,0.1430195438255917,-0.19599247183859353,0.14736924256654063,-0.1489466941170199,0.18889916416723793,0.1724357106167848,0.18002876197422563,-0.18382335770600927
18,0.14302505544783614,-0.1961491481408413,0.14771967162925712,-0.14977275302105167,0.19111749349251841,0.17210798015377832,0.1803337354323339,-0.18410293528585586
19,0.14510003419729564,-0.1971113421827379,0.14905829142383986,-0.15050452616348636,0.19230936513140376,0.1737498387720974,0.1812568049678754,-0.18526041033721252
20,0.14382125809482144,-0.19512006861449693,0.14732764791221914,-0.1490323222635061,0.19145710431841867,0.17250085136451357,0.1799044816465844,-0.1841902636792046
21,0.1429705149758798,-0.19457721950709816,0.1481796327077475,-0.14792723348280615,0.18985268512108724,0.1726303520666529,0.18006384090845606,-0.18419435365052764
22,0.14342922585109016,-0.19415167042197443,0.1476277624008036,-0.14777284832525533,0.18904704577770765,0.17189565976534413,0.17988764018081135,-0.18437362409336897
23,0.1427234287623343,-0.1955583714833721,0.14808086390188918,-0.14851385700798647,0.19042648002797996,0.1725247788028435,0.18017804250568195,-0.18433063586252726
24,0.14234573065447012,-0.19612235265667796,0.1476146937135236,-0.14779652175173172,0.19054290200951748,0.17181829665914256,0.180057530297594,-0.18415693297659305
25,0.14181565104445443,-0.1953636786048014,0.14763621461346263,-0.14941959997823628,0.19096763829055366,0.1722034580708017,0.17999976297565687,-0.18404157380714814
26,0.1430326367336204,-0.1968937088897982,0.14883067712738937,-0.14882568940117857,0.19083924082538506,0.17308345914077028,0.18135509383127077,-0.18512637719353406
27,0.14277732237027244,-0.19480373216075547,0.1478751725864941,-0.1493085100267186,0.18964053895951838,0.17264293202584333,0.1801670262264072,-0.18403355975277885
28,0.142324052616995,-0.1960245343873709,0.14678889959930563,-0.1482611564719413,0.19143603777801857,0.17221777557432189,0.18009309411711272,-0.18453223375607578
29,0.14424946205103933,-0.19658920497402296,0.1481543935148023,-0.14981537984911758,0.19120520290096552,0.1727816985479233,0.1809374381669247,-0.1848651907571455
30,0.142836737684362,-0.19406128501126726,0.14784273587824126,-0.14884000776207953,0.19067078384297892,0.1725119532504638,0.180872466998699,-0.184335371453472
31,0.14370457039887044,-0.19509321946053584,0.148197734171355,-0.14827765415976799,0.1935004216443464,0.17308745309417312,0.18097653406209466,-0.18541052343516173
32,0.1450602156008006,-0.19591242838947256,0.1483398612927766,-0.14925530811626286,0.19229574617267073,0.17318764969906844,0.1802603806085684,-0.18444968324654537
33,0.14459398116182864,-0.19543277418529756,0.14877271967680292,-0.15029714641956146,0.19088483486795257,0.17292601417213244,0.1814273745381575,-0.18532300512822375
34,0.14289409784852763,-0.19424300409032738,0.14753767039420196,-0.14800871145397096,0.19136149435222038,0.1716467105508823,0.17952636574833594,-0.18361138340091712
35,0.14181964704058694,-0.19522543819195892,0.147729437884558,-0.14866115972165334,0.18994952019835018,0.17252146031668902,0.1801775766576473,-0.18398919763101637
36,0.1440137447707071,-0.19394857873115462,0.14824741549965256,-0.14802879513335532,0.18948596571742216,0.17200707044467795,0.1801891240033972,-0.184134475997074
37,0.1426925394754131,-0.1956191950727636,0.1472562165948524,-0.14804443844764614,0.1905012424953522,0.1725164374442148,0.18063987949984925,-0.18474817901022708
38,0.14353969227093233,-0.1956974330947846,0.14814154986965178,-0.14975872159139925,0.1911282215569866,0.17259963106791051,0.18078832196281397,-0.18498902419367794
39,0.14182163039208376,-0.19431871032307985,0.14649309956216963,-0.1470576007054832,0.18991749616161732,0.17122675429278364,0.1791196700526592,-0.1836535317074651
40,0.14417687131772142,-0.19569975592464905,0.149805694307588,-0.15055891623127443,0.1911951630091968,0.17380783629991278,0.1817614038847517,-0.18534529971611433
41,0.14462517691430393,-0.19525075009973328,0.14886268243767892,-0.15052923086224496,0.19004026457986228,0.17322840137781456,0.18094742168563516,-0.1848354370353984
42,0.14108883556215646,-0.1940291075469176,0.14605006847750565,-0.14852937434343655,0.18984372708391356,0.1708949256087155,0.17931415740374546,-0.18312845194612926
43,0.1439013439209199,-0.19584311034767612,0.1482414475920217,-0.1504327123873733,0.19207985972918598,0.17338085960206678,0.1807094371732002,-0.18468567559341523
44,0.14469405917591707,-0.1946358309049669,0.1479808079565352,-0.14852287400325961,0.1908931976135617,0.17238398266158497,0.18033270969901335,-0.18500106968303506
45,0.14247078890632703,-0.19518099669489644,0.14781806923770321,-0.1485281710048643,0.19149201158958434,0.1727967445591134,0.18006250303396473,-0.18460683747604176
46,0.14573507681909556,-0.19635425331622594,0.14948222651862733,-0.1504703708754373,0.19251018525781258,0.17450773200352626,0.18163502066340445,-0.1854825313788722
47,0.14418840358309934,-0.19644047401048753,0.14873892634719504,-0.15023309654603878,0.19189780516300597,0.17355119731041874,0.1811321627913876,-0.18560650980389404
48,0.14289203198099748,-0.19426596359236187,0.1478331001477977,-0.14805443226227716,0.19229813333604204,0.1728104853093601,0.1805823803696404,-0.18412806867704157
49,0.14238864111336583,-0.19481051601838006,0.1476934478263187,-0.14743573130776153,0.1910397359486002,0.17236071807972228,0.18013750698060862,-0.18392432777908432
50,0.14267508977981663,-0.19549000699377045,0.14660974243849814,-0.14840429300864388,0.18984086753329796,0.17172925974399042,0.17987740687643328,-0.1837145561252142
51,0.1429052177562987,-0.19418784080614862,0.14799143557984273,-0.14854063079198113,0.18903267350347733,0.172304284253285,0.17972884827567956,-0.18410981116271083
52,0.14316814807779876,-0.1950112100334478,0.1484190871643305,-0.14893247101273366,0.19000994460533227,0.1728493245166074,0.1800626649382312,-0.18477562367290942
53,0.14506810621024285,-0.1964149637433104,0.14930429307804804,-0.1503869503347908,0.19220178737098043,0.17382382106807925,0.18202378513572992,-0.1857184856169481
54,0.1429575770130992,-0.1957841094910899,0.14775108629801045,-0.14752930144881765,0.19198039163977088,0.17284716914724532,0.18096462153937143,-0.1845776680256194
55,0.14207289774453624,-0.19423654915845415,0.14657689350232275,-0.1474396582945182,0.18888423117705597,0.17106093350554566,0.1790548420024731,-0.18332490535027984
56,0.14286843394081047,-0.1944767067576901,0.14667110494566152,-0.14671344436721162,0.19019343763708657,0.1708193545442395,0.1791147911341133,-0.1833711242194114
57,0.14340884094074735,-0.1957731108580488,0.14819878993544208,-0.14938880834720175,0.18958796329871738,0.17329820256773937,0.18091371515330187,-0.18529460740846618
58,0.14261496170730825,-0.19441582399494106,0.14707194457431885,-0.14764589080733173,0.1908348104393515,0.17147172627704566,0.17980937921188403,-0.18381663375896276
59,0.14473338908081163,-0.1963616053896904,0.1488160221123572,-0.14966011571150956,0.19052783396645026,0.1733834230709034,0.1818770582862135,-0.18517470916346074
60,0.14283345988075538,-0.19535816048973187,0.1480205753883698,-0.14771663808354296,0.19058907400284616,0.17228492781584984,0.18057551061513274,-0.18417685655711027
61,0.14593530971771723,-0.1956643072574433,0.14803620613813087,-0.14937322198425865,0.18883565477717532,0.17269848138621263,0.18033022254782066,-0.184681822103305
62,0.14305019762831359,-0.1954283525541223,0.14784280188050078,-0.14849203704400976,0.19014675084082117,0.17275402746319518,0.18083910095687108,-0.18437059639644737
63,0.14322314663509084,-0.19566080481710002,0.14787873464386936,-0.1481464987959328,0.1915867441588444,0.17240654970255623,0.18005016412618344,-0.18405977004637597
64,0.1433844016483751,-0.19378709998268645,0.14764256003370077,-0.14794043603345838,0.19084819851744847,0.17236791035291285,0.1797040562510621,-0.18358955859000617
65,0.14299993306715506,-0.1956433200388763,0.14833567031929767,-0.14965231311489247,0.1920999446825218,0.1726510978940971,0.18073372835980758,-0.18484468077228572
66,0.14322863420085816,-0.19518116019745843,0.1487685615202919,-0.14932386526188168,0.19122391741458702,0.17332094320923047,0.18093220430058915,-0.18476518973688316
67,0.14518216396097608,-0.19559675780044697,0.14899411804827145,-0.14995116788742996,0.1912622846852817,0.17309001910143346,0.1813381065024063,-0.18504884270340663
68,0.1421676123860992,-0.19417964094009504,0.14728245126253625,-0.1480544350845435,0.19013424163804232,0.17121456465785428,0.17933781553575656,-0.18307601089564046
69,0.14361834815005156,-0.19586805056572834,0.1485425026403169,-0.14941283168324998,0.19230492679758004,0.1733271756444532,0.18096269733394452,-0.18540050917354162
70,0.14365769885759305,-0.19504909006590168,0.14753125449692672,-0.14849103944307931,0.19084504770390537,0.1717846062598817,0.17956697930872315,-0.1841397599172972
71,0.14289028913475957,-0.19515923493463216,0.14792530160311776,-0.1484654264216449,0.18987326260017395,0.1717650055351625,0.18009238080537912,-0.18407034925466026
72,0.14505509256475402,-0.1945176678077649,0.1493050774281296,-0.14888988662002423,0.18972218619812414,0.1727059975623892,0.1806776522207617,-0.1841965793701599
73,0.14409550612837865,-0.19516213998746818,0.14820980831071848,-0.1484606720051343,0.19145318583745477,0.172651629791743,0.18064604262234776,-0.18483120629918795
74,0.14238772521616339,-0.194642664197633,0.1471326820614312,-0.1491352309086377,0.19037009973261393,0.1718828909527062,0.18008134489990096,-0.18391702535154697
75,0.1423080735639542,-0.1953425915649859,0.14834379088024716,-0.150069958709805,0.19066919377180377,0.1729716561329725,0.18057730655980977,-0.18425996505018005
76,0.14336820124369146,-0.1967049754717161,0.14792531912330503,-0.149141306318303,0.1931912088701918,0.17306540968665146,0.18043184306565602,-0.18483665306356342
77,0.1415993173912927,-0.19415566537476603,0.14600438301361363,-0.1466088141868934,0.18943855627900208,0.1709780614511273,0.17894850457688896,-0.18282013664658786
78,0.14180823244850946,-0.19535951360029688,0.14718515994025488,-0.14741960257660588,0.19077920439155274,0.17176774068958453,0.1800830139561675,-0.18433713789800787
79,0.14248745253301132,-0.19498638306302346,0.14726351724783884,-0.1486099775163176,0.19041533899931054,0.1722382412125362,0.18010570970897502,-0.18423231022930134
80,0.14355807471158086,-0.1959405563447971,0.1483943368318748,-0.1492523384669263,0.19147506165067255,0.1730227060881759,0.18134649171557066,-0.18563187346861895
81,0.14410629376390316,-0.19570671461287553,0.14873741268015506,-0.1501157062855875,0.18984703120101432,0.17307674864585323,0.18073586154391075,-0.1851501575412271
82,0.1435392790825973,-0.19551539909297735,0.14832585173690818,-0.1483739481677987,0.1905004468502636,0.17206328451016698,0.1807175449199165,-0.18466031899822868
83,0.1425534571020221,-0.19521815072655407,0.14714125883114265,-0.14791737386986417,0.19152269655838547,0.17199062274228577,0.1808340124903348,-0.1844064013800928
84,0.1446946725457296,-0.19459467323571597,0.14809531743990606,-0.14983239323001185,0.19137424757715726,0.17288598107260858,0.1807363148920433,-0.18446634871716638
85,0.14447421738977168,-0.19730934723683718,0.1504127810049101,-0.15068434333432523,0.19240352869237487,0.17449565639178632,0.18233398458619626,-0.18623330192312693
