player,wta_rank,original_matches,original_edge,original_edge_rank,bootstrap_edge_mean,bootstrap_edge_median,bootstrap_edge_bias,bootstrap_edge_se,edge_ci_lower,edge_ci_upper,edge_ci_width,bootstrap_rank_median,rank_ci_lower,rank_ci_upper,rank_ci_width,probability_top_10_given_valid,probability_top_20_given_valid,probability_top_10_unconditional,probability_top_20_unconditional,valid_edge_replicates,valid_rank_replicates,availability_rate
Aryna Sabalenka,1,46,0.03214790085160775,1.0,0.0322288165010126,0.03217088277826197,8.091564940485019e-05,0.003060568841707507,0.026393359158952127,0.03830058103522499,0.011907221876272862,1.0,1.0,7.0,6.0,0.9966,0.9998,0.9966,0.9998,5000,5000,1.0
Elena Rybakina,2,127,0.028929403730981,3.0,0.028934845301900065,0.0289412722181673,5.441570919063887e-06,0.001554656654649792,0.025847458074179375,0.03199792469288441,0.006150466618705032,4.0,1.0,7.024999999999636,6.024999999999636,0.9978,1.0,0.9978,1.0,5000,5000,1.0
Iga Swiatek,3,218,0.02414354770719103,8.0,0.024148140130255923,0.02413694557956504,4.592423064893325e-06,0.0010746590794074036,0.022056369214049996,0.02624413456443108,0.004187765350381085,11.0,6.0,17.0,11.0,0.479,0.9992,0.479,0.9992,5000,5000,1.0
Coco Gauff,4,104,0.01761743079897863,30.0,0.01764390082442331,0.017616481338028775,2.6470025444681744e-05,0.0016578128430523157,0.014459535782856033,0.020951905273756132,0.0064923694909001,30.0,19.0,40.0,21.0,0.0002,0.0466,0.0002,0.0466,5000,5000,1.0
Jessica Pegula,5,78,0.023128378391434293,13.0,0.023112082220909057,0.023143116831540224,-1.629617052523527e-05,0.0020251254943533213,0.019058827844717484,0.027118981201888635,0.00806015335717115,13.0,5.0,25.0,20.0,0.2878,0.8948,0.2878,0.8948,5000,5000,1.0
Amanda Anisimova,6,63,0.020859517819023673,19.0,0.020870075556288368,0.020884733980444763,1.0557737264695055e-05,0.002312895186800545,0.0163351241653165,0.025346335865999606,0.009011211700683107,20.0,8.0,34.0,26.0,0.072,0.5598,0.072,0.5598,5000,5000,1.0
Elina Svitolina,7,79,0.018314946858412142,26.0,0.018321582120193906,0.01831426672976813,6.635261781764296e-06,0.0016659188902608442,0.015130667657977104,0.02169040785878179,0.006559740200804687,27.0,17.0,38.0,21.0,0.0004,0.1002,0.0004,0.1002,5000,5000,1.0
Mirra Andreeva,8,113,0.013815882765418123,44.0,0.013830187301460111,0.013833848708806499,1.430453604198828e-05,0.0013126130542931431,0.011243517551415793,0.016427317666760637,0.005183800115344844,42.0,33.0,49.0,16.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Victoria Mboko,9,24,0.01454058637898759,39.0,0.014509262863256947,0.014566504157068737,-3.132351573064372e-05,0.004349970860187835,0.005718945832550126,0.02259988739111717,0.016880941558567043,39.0,15.0,55.024999999999636,40.024999999999636,0.0116,0.0728,0.0116,0.0728,5000,5000,1.0
Karolina Muchova,10,60,0.021716487941794628,17.0,0.021733025615339942,0.021755806409544814,1.653767354531377e-05,0.0021731965801343733,0.017386072106503715,0.025947013624833877,0.008560941518330163,17.0,7.0,31.0,24.0,0.1306,0.7038,0.1306,0.7038,5000,5000,1.0
Belinda Bencic,11,42,0.030803368807034992,2.0,0.030781205684041232,0.030784328658274546,-2.2163122993759665e-05,0.002782565995005844,0.025421329333327747,0.036508295914539496,0.011086966581211749,2.0,1.0,8.0,7.0,0.9892,0.9998,0.9892,0.9998,5000,5000,1.0
Linda Noskova,12,47,0.022025533115975167,15.0,0.02209364173705671,0.02213018934152987,6.810862108154458e-05,0.003129293691642901,0.01583978351917363,0.028193655779469105,0.012353872260295475,16.0,4.0,35.0,31.0,0.249,0.6916,0.249,0.6916,5000,5000,1.0
Jasmine Paolini,13,49,0.02006561089702395,23.0,0.020051520207003036,0.020021376977697743,-1.409069002091326e-05,0.0025453489653736,0.015046929200544153,0.025113000278060363,0.01006607107751621,22.0,8.0,39.0,31.0,0.0542,0.4158,0.0542,0.4158,5000,5000,1.0
Ekaterina Alexandrova,14,47,0.019733403202692706,24.0,0.019733898296039814,0.01969892293424983,4.950933471074837e-07,0.0027511042955770102,0.014442315003002547,0.025210053462331763,0.010767738459329216,23.0,8.0,40.0,32.0,0.0532,0.3742,0.0532,0.3742,5000,5000,1.0
Marta Kostyuk,15,57,0.01411782302345425,43.0,0.014114486170221261,0.014090391211146362,-3.336853232989087e-06,0.002213559239505871,0.009786367775933433,0.018576748533512745,0.008790380757579312,41.0,26.0,51.0,25.0,0.0,0.0024,0.0,0.0024,5000,5000,1.0
Naomi Osaka,16,41,0.017179759816104794,31.0,0.017184694780295932,0.017218912338641312,4.93496419113823e-06,0.0027507571410622196,0.011526025240818718,0.022453862140671566,0.010927836899852848,31.0,15.0,47.0,32.0,0.0038,0.1116,0.0038,0.1116,5000,5000,1.0
Iva Jovic,17,44,0.01619697688012957,34.0,0.016211676224612795,0.01622598473541987,1.4699344483226628e-05,0.002682738258315117,0.010964859225341751,0.021363700197708283,0.010398840972366532,34.0,18.0,49.0,31.0,0.0014,0.0558,0.0014,0.0558,5000,5000,1.0
Sorana Cirstea,18,27,0.026283511984470063,5.0,0.026275207526809324,0.0263917056675788,-8.304457660739811e-06,0.0033611709286654936,0.019430626675169857,0.03262535311500736,0.013194726439837504,6.0,1.0,24.0,23.0,0.7408,0.9504,0.7408,0.9504,5000,5000,1.0
Madison Keys,19,32,0.020353090545969045,21.0,0.02031579376522481,0.020290670263603768,-3.7296780744235786e-05,0.0038262606611592534,0.012636214824248601,0.027743226206282195,0.015107011382033594,21.0,5.0,45.0,40.0,0.1486,0.479,0.1486,0.479,5000,5000,1.0
Clara Tauson,20,41,0.02038802537537413,20.0,0.02040504639403653,0.02054474568479647,1.7021018662397025e-05,0.0028290475326583236,0.014566557236674205,0.0256302905886779,0.011063733352003696,21.0,8.0,39.0,31.0,0.0804,0.4936,0.0804,0.4936,5000,5000,1.0
